Trait,Alliaria petiolata,Arctium lappa,Artemisia vulgaris,Barbarea vulgaris,Berberis thunbergii,Brassica nigra,Centaurea jacea,Centaurea nigrescens,Centaurea stoebe,Chelidonium majus,Commelina communis,Dactylis glomerata,Daucus carota,Dianthus armeria,Digitaria sanguinalis,Elymus repens,Epipactis helleborine,Euonymus alatus,Galium mollugo,Glechoma hederacea,Hemerocallis fulva,Hypericum perforatum,Leonurus cardiaca,Leucanthemum vulgare,Linaria vulgaris,Lithospermum officinale,Lonicera japonica,Lonicera morrowii,Lotus corniculatus,Lysimachia nummularia,Lythrum salicaria,Malus pumila,Melilotus officinalis,Myosotis scorpioides,Phleum pratense,Plantago lanceolata,Plantago major,Polygonum cuspidatum,Polygonum hydropiper,Polygonum persicaria,Potentilla recta,Rhamnus cathartica,Rosa multiflora,Rubus phoenicolasius,Rumex crispus,Rumex obtusifolius,Salix alba,Salix pentandra,Saponaria officinalis,Securigera varia,Silene vulgaris,Solanum dulcamara,Sonchus oleraceus,Tanacetum vulgare,Trifolium aureum,Trifolium pratense,Trifolium repens,Tussilago farfara,Verbascum thapsus,Vinca minor
Leaf nitrogen (N) content per area,NA,NA,0.81,NA,NA,NA,NA,NA,NA,NA,NA,1.273333333,1.78,NA,NA,1.01,NA,NA,0.6,1.14,NA,NA,NA,0.93,NA,NA,NA,NA,1.48,NA,83.27,NA,NA,NA,1.013333333,1.316,63.82,NA,NA,NA,NA,1.924,NA,NA,NA,1.34,NA,NA,NA,NA,NA,1.02,NA,1.275,NA,1.6,1.6,NA,1.015,NA
Leaf nitrogen (N) content per dry mass,21.03,NA,23.48,NA,NA,NA,22.31,NA,NA,NA,11.88,14.55021277,13.23538462,NA,1.26,6.63625,NA,NA,25.22833333,7.46125,NA,22.3,NA,15.544,4.026666667,NA,NA,NA,25.59409091,1.71,7.37,17.37,19.14,NA,9.634642857,12.87025641,20.63181818,NA,2.352,1.222,NA,15.693,NA,NA,2.976666667,13.87714286,2.56,29.06,NA,NA,2.64,18.868,19.195,2.235384615,NA,24.915625,30.9675,2.54,2.235,NA
Leaf nitrogen/phosphorus (N/P) ratio,8.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.63,10.262,NA,NA,NA,NA,NA,NA,NA,8.326363636,NA,NA,NA,NA,15.32,NA,NA,NA,15.365,6.68,NA,NA,22.31,NA,7.2075,9.32,16.27,NA,NA,NA,NA,15.91,NA,NA,11.5,NA,NA,NA,NA,NA,11.73,11.14,10.09,NA,NA,14.09,NA,10.36,NA,NA
Leaf phosphorus (P) content per area,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08,NA,NA,NA,NA,NA,NA,0.17,NA
Leaf phosphorus (P) content per dry mass,2750.595,NA,NA,NA,NA,NA,1.435,NA,NA,NA,855.855,343.20375,2.538,NA,NA,0.974285714,NA,0.35,2.598,2619.708667,NA,NA,NA,1.41,730.73,NA,NA,NA,236.4623529,2560,1.5,NA,780.78,NA,1667.8,101.5768182,0.19,NA,NA,NA,NA,511.8,NA,NA,0.353333333,4.14,0.25,1.68,NA,NA,0.23,581.3706667,1731.73,0.38,NA,131.1276471,2.026153846,2200,0.25,NA
Leaf physical strength,2.22,NA,1.265,NA,NA,NA,NA,NA,NA,NA,NA,82.167,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6175,NA,NA,NA,NA,NA,NA,1.2225,NA,0.525,NA,NA,0.875,NA,1.593333333,1.18,NA,NA,0.94,NA,2.09,NA,NA,NA,29.41333333,NA,NA,NA,NA,NA,1.535,0.465,NA,NA,2.105,4.392857143,0.69,NA,NA
Leaf porosity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.66666667,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,8,NA,NA,NA,NA,14,NA,25,NA,NA,NA,NA,NA,NA
Leaf potassium (K) content per area,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,NA,NA,NA,NA,NA,NA,NA,NA
Leaf potassium (K) content per dry mass,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.784,NA,NA,NA,NA,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.29333333,NA,NA,NA,7.136666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.43,NA,NA,NA,NA,NA,NA,NA,NA
Leaf respiration per dry mass,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.13692308,25.49692308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leaf specific area (SLA),41.94666667,17.33111111,46.13692308,26.65,NA,26.26,23.07365079,NA,22.26222222,43.41555556,NA,52.17337838,28.13317647,15.348,46.908,3085.376486,74.57533333,62,34.49169231,2495.267143,NA,77.0872093,NA,38.015,57.92230769,21.85,120.24,NA,35.45587786,30.86333333,128.9616129,NA,19.375,44.1365,71.20378378,51.06269231,73.34719101,144.36,199.1263636,68.86478261,16.40916667,46.76952381,38.11,NA,2569.289412,48.77483871,1068.273333,39.94,23.35,NA,20.48181818,748.933,71.00789474,813.9280645,37.06307692,81.04977528,50.88778846,58.84214286,64.79333333,45.43571429
Leaf texture (sclerophylly),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,0.03,NA,NA,0.315,NA,NA,NA,NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA
Leaf thickness,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11,NA,NA,NA,NA,0.12,NA,NA,NA,NA,0.08,NA,NA,NA,NA,NA,NA,NA,NA,0.15,NA,NA,NA,77.55125,346.75,221.042,NA,NA,0.17,NA,130.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,89.64666667,NA,NA,NA,0.14,NA,NA,NA,NA
Leaf type,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Metamorphoses and morphological adaptations: seed or dispersal unit,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
Mycorrhizal type,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nitrogen fixation capacity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Phenology: reproductive,5,7.5,65.5,64,5,54,175.1,8,8,7,NA,134.3062963,145.93,7,8.5,NA,7,NA,87.2,53.33333333,7.5,140.2857143,7.5,137.7,8,6,NA,NA,126.0833333,6,8,NA,7.5,7,137.375,120.1428571,113.25,NA,NA,NA,6.5,5.5,6.5,NA,7,88.2,4.5,5.5,7.5,7,7,5.875,8,8,84.33333333,143.3157895,130.9047619,3.5,95,4.5
Phenology: vegetative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA
Photosynthesis leaf intercellular CO2 concentration,NA,NA,306,NA,NA,NA,NA,NA,NA,NA,NA,186.75,NA,NA,NA,NA,NA,NA,NA,219,NA,NA,NA,NA,NA,NA,NA,NA,211.875,NA,352,NA,NA,NA,NA,251.4636364,273.5275,NA,NA,NA,NA,118.8825,NA,NA,NA,258.875,NA,NA,NA,NA,NA,NA,NA,NA,NA,189.125,215.375,NA,NA,NA
Photosynthesis net assimilytion rate (NAR),NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0.242857143,3.17,NA,NA,0,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA,NA,0,NA,0,NA,NA,NA,0,2.911538462,1.996666667,NA,NA,NA,NA,0,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,0,NA,0,0,NA,0,NA
