River,Species,Presence
Stony Creek,hypericum_punctatum,1
Cadman Creek,juglans_cinerea,1
Quacken Kill,juglans_cinerea,1
Hudson River,juglans_nigra,1
Landsman Kill,juglans_nigra,1
Four Mile Brook,juncus_articulatus,1
Timmerman Creek,juncus_articulatus,1
Cedar River,juncus_filiformis,1
Four Mile Brook,juncus_filiformis,1
Alplaus Kill,laportea_canadensis,1
Ballston Creek,laportea_canadensis,1
Evas Kill,laportea_canadensis,1
Landsman Kill,laportea_canadensis,1
Snook Kill,laportea_canadensis,1
Indian Brook,lindera_benzoin,1
Battenkill,liparis_loeselii,1
Mill Creek,liparis_loeselii,1
Stewart Creek,liparis_loeselii,1
Ballston Creek,lobelia_cardinalis,1
Jassup River,lobelia_cardinalis,1
Mill Brook,lobelia_cardinalis,1
Mill Creek,lobelia_cardinalis,1
Paragon Brook,lobelia_cardinalis,1
Stewart Creek,lobelia_cardinalis,1
Timmerman Creek,lobelia_cardinalis,1
Trout Brook,lobelia_cardinalis,1
Evas Kill,lobelia_siphilitica,1
Snook Kill,lobelia_siphilitica,1
Chester Creek,ludwigia_palustris,1
Jassup River,ludwigia_palustris,1
Hudson River,lycopus_americanus,1
Boreas River,lycopus_rubellus,1
Cadman Creek,lycopus_rubellus,1
Cedar River,lycopus_rubellus,1
Chester Creek,lycopus_rubellus,1
Evas Kill,lycopus_rubellus,1
Four Mile Brook,lycopus_rubellus,1
Lansing Kill,lycopus_rubellus,1
New Pond Brook,lycopus_rubellus,1
North Branch West Stony Creek,lycopus_rubellus,1
Robbs Creek,lycopus_rubellus,1
Sherriff Lake Outlet,lycopus_rubellus,1
Snook Kill,lycopus_rubellus,1
Sterling Creek,lycopus_rubellus,1
Stewart Creek,lycopus_rubellus,1
Trout Brook,lycopus_rubellus,1
Battenkill,lysimachia_ciliata,1
Beaver Kill,lysimachia_ciliata,1
Mill Brook,lysimachia_ciliata,1
Mohawk River,lysimachia_ciliata,1
Wharton Hollow Creek,lysimachia_ciliata,1
Ballston Creek,lysimachia_quadrifolia,1
Fawn Lake,lysimachia_terrestris,1
Bullhead Pond Brook,maianthemum_racemosum,1
Cadman Creek,maianthemum_racemosum,1
Hans Creek,maianthemum_racemosum,1
Indian Kill,maianthemum_racemosum,1
Kennyetto Creek,maianthemum_racemosum,1
Kinderhook Creek,maianthemum_racemosum,1
Lansing Kill,maianthemum_racemosum,1
Minots Corner Road,maianthemum_racemosum,1
Mohawk River,maianthemum_racemosum,1
North Branch West Stony Creek,maianthemum_racemosum,1
Robbs Creek,maianthemum_racemosum,1
Stewart Creek,maianthemum_racemosum,1
Trout Brook,maianthemum_racemosum,1
Valatie Kill,maianthemum_racemosum,1
Alplaus Kill,matteuccia_struthiopteris,1
Ballston Creek,matteuccia_struthiopteris,1
Hans Creek,matteuccia_struthiopteris,1
Indian Kill,matteuccia_struthiopteris,1
Mill Creek,matteuccia_struthiopteris,1
Minots Corner Road,matteuccia_struthiopteris,1
Jassup River,mimulus_ringens,1
Kayaderosseras Creek,mimulus_ringens,1
Snook Kill,mimulus_ringens,1
Trout Brook,mitchella_repens,1
Stony Creek,monotropa_uniflora,1
Quacken Kill,muhlenbergia_mexicana,1
Alplaus Kill,myosotis_laxa,1
Ballston Creek,myosotis_laxa,1
Evas Kill,myosotis_laxa,1
Kayaderosseras Creek,myosotis_laxa,1
Keyser Kill,myosotis_laxa,1
Boreas River,myrica_gale,1
Chester Creek,myrica_gale,1
Paragon Brook,myrica_gale,1
Keyser Kill,oenothera_biennis,1
Snook Kill,oenothera_biennis,1
Sterling Creek,oenothera_biennis,1
Timmerman Creek,oenothera_biennis,1
Alplaus Kill,onoclea_sensibilis,1
Ballston Creek,onoclea_sensibilis,1
Battenkill,onoclea_sensibilis,1
Beaver Kill,onoclea_sensibilis,1
Boreas River,onoclea_sensibilis,1
Cadman Creek,onoclea_sensibilis,1
Cedar River,onoclea_sensibilis,1
Chester Creek,onoclea_sensibilis,1
Daly Creek,onoclea_sensibilis,1
Fawn Lake,onoclea_sensibilis,1
Four Mile Brook,onoclea_sensibilis,1
Green River,onoclea_sensibilis,1
Hans Creek,onoclea_sensibilis,1
Indian Brook,onoclea_sensibilis,1
Indian Kill,onoclea_sensibilis,1
Jassup River,onoclea_sensibilis,1
Kennyetto Creek,onoclea_sensibilis,1
Kinderhook Creek,onoclea_sensibilis,1
Mill Brook,onoclea_sensibilis,1
Mill Creek,onoclea_sensibilis,1
Minots Corner Road,onoclea_sensibilis,1
Mohawk River,onoclea_sensibilis,1
Paragon Brook,onoclea_sensibilis,1
Potic Creek,onoclea_sensibilis,1
Quacken Kill,onoclea_sensibilis,1
Robbs Creek,onoclea_sensibilis,1
Roeliff Jansen Kill,onoclea_sensibilis,1
Sherriff Lake Outlet,onoclea_sensibilis,1
Snook Kill,onoclea_sensibilis,1
Sprout Creek,onoclea_sensibilis,1
Timmerman Creek,onoclea_sensibilis,1
Trout Brook,onoclea_sensibilis,1
Wharton Hollow Creek,onoclea_sensibilis,1
