River,Species,Presence
Landsman Kill,Lythrum salicaria,1
Plotter Kill,Lythrum salicaria,1
Roeliff Jansen Kill,Lythrum salicaria,1
Snook Kill,Lythrum salicaria,1
Sprout Creek,Lythrum salicaria,1
Wappinger Creek,Lythrum salicaria,1
Bullhead Pond Brook,Maianthemum racemosum,1
Cadman Creek,Maianthemum racemosum,1
Hans Creek,Maianthemum racemosum,1
Indian Kill,Maianthemum racemosum,1
Kennyetto Creek,Maianthemum racemosum,1
Kinderhook Creek,Maianthemum racemosum,1
Lansing Kill,Maianthemum racemosum,1
Minots Corner Road,Maianthemum racemosum,1
Mohawk River,Maianthemum racemosum,1
North Branch West Stony Creek,Maianthemum racemosum,1
Robbs Creek,Maianthemum racemosum,1
Stewart Creek,Maianthemum racemosum,1
Trout Brook,Maianthemum racemosum,1
Valatie Kill,Maianthemum racemosum,1
Fishkill Creek,Malus pumila,1
Kinderhook Creek,Malus pumila,1
Alplaus Kill,Matteuccia struthiopteris,1
Ballston Creek,Matteuccia struthiopteris,1
Hans Creek,Matteuccia struthiopteris,1
Indian Kill,Matteuccia struthiopteris,1
Mill Creek,Matteuccia struthiopteris,1
