Trait,Species,Value
Photosynthesis per leaf area,Plantago lanceolata,9.6
Plant height vegetative,Plantago major,9.6
Leaf respiration per dry mass,Ostrya virginiana,9.607504402
Photosynthesis per leaf area,Bromus inermis,9.608540925
Leaf area,Centaurea jacea,9.61
Leaf respiration per dry mass,Abies balsamea,9.615500237
Plant height vegetative,Trifolium repens,9.62
Leaf area,Robinia pseudoacacia,9.620666667
Leaf specific area (SLA),Oenothera biennis,9.627
Leaf specific area (SLA),Oenothera biennis,9.627
Leaf dry matter content (LDMC),Plantago lanceolata,9.62956016
Leaf nitrogen/phosphorus (N/P) ratio,Populus tremuloides,9.62962963
Leaf area,Bromus inermis,9.63
Leaf area,Centaurea jacea,9.63
Leaf respiration per dry mass,Populus deltoides,9.630013803
Leaf potassium (K) content per dry mass,Pteridium aquilinum,9.635608107
Photosynthesis per leaf area,Oenothera biennis,9.636060606
Leaf nitrogen/phosphorus (N/P) ratio,Urtica dioica,9.636363636
Leaf nitrogen/phosphorus (N/P) ratio,Urtica dioica,9.636363636
Leaf respiration per dry mass,Acer rubrum,9.637045
Leaf respiration per dry mass,Acer rubrum,9.637045
Seed mass,Galium aparine,9.656
Seed mass,Galium aparine,9.656
Leaf respiration per dry mass,Quercus alba,9.668831074
Leaf area,Achillea millefolium,9.67
Leaf area,Solidago canadensis,9.67
Leaf area,Solidago canadensis,9.67
Leaf respiration per dry mass,Tilia americana,9.675
Leaf respiration per dry mass,Tilia americana,9.675
Leaf nitrogen/phosphorus (N/P) ratio,Populus tremuloides,9.68
Leaf area,Daucus carota,9.68
Leaf nitrogen/phosphorus (N/P) ratio,Populus deltoides,9.681818182
Leaf potassium (K) content per dry mass,Pteridium aquilinum,9.686574551
Leaf respiration per dry mass,Acer rubrum,9.693659
Leaf respiration per dry mass,Acer rubrum,9.693659
Leaf respiration per dry mass,Acer rubrum,9.6955
Leaf respiration per dry mass,Acer rubrum,9.6955
Leaf nitrogen (N) content per dry mass,Oenothera biennis,9.7
Plant height vegetative,Plantago lanceolata,9.7
Stem nitrogen (N) content per dry mass,Populus tremuloides,9.7
Stem nitrogen (N) content per dry mass,Populus tremuloides,9.7
Stem nitrogen (N) content per dry mass,Populus tremuloides,9.7
Stem nitrogen (N) content per dry mass,Populus tremuloides,9.7
Leaf area,Solidago canadensis,9.7
Photosynthesis per leaf area,Glechoma hederacea,9.7
Leaf respiration per dry mass,Pinus strobus,9.701128359
Leaf respiration per dry mass,Quercus rubra,9.704273068
Leaf respiration per dry mass,Quercus rubra,9.708732787
Leaf potassium (K) content per dry mass,Matteuccia struthiopteris,9.71111566
Root nitrogen (N) content per dry mass,Acer saccharum,9.712
Leaf respiration per dry mass,Betula papyrifera,9.716828807
Leaf physical strength,Dactylis glomerata,9.72
Leaf area,Phalaris arundinacea,9.723727273
Leaf potassium (K) content per dry mass,Equisetum hyemale,9.729134165
Leaf area,Bromus inermis,9.73
Leaf area,Bromus inermis,9.73
Leaf area,Centaurea jacea,9.73
Leaf area,Solidago canadensis,9.73
Leaf area,Centaurea jacea,9.73
Leaf respiration per dry mass,Quercus alba,9.730211875
Leaf respiration per dry mass,Quercus rubra,9.732664244
Leaf respiration per dry mass,Acer saccharum,9.732762789
Leaf potassium (K) content per dry mass,Equisetum hyemale,9.746833742
Leaf nitrogen/phosphorus (N/P) ratio,Populus deltoides,9.75
Leaf area,Solidago canadensis,9.75
Leaf area,Solidago canadensis,9.75
"Leaf dry mass per plant dry mass (leaf weight ratio, LWR)",Impatiens capensis,9.756097561
Leaf nitrogen/phosphorus (N/P) ratio,Populus tremuloides,9.759615385
Leaf specific area (SLA),Solidago canadensis,9.76
Leaf area,Solidago canadensis,9.76
Leaf respiration per dry mass,Quercus rubra,9.768567
Leaf respiration per dry mass,Quercus rubra,9.768567
Leaf area,Daucus carota,9.77
Leaf respiration per dry mass,Acer rubrum,9.772443793
Leaf nitrogen/phosphorus (N/P) ratio,Populus deltoides,9.772727273
Leaf respiration per dry mass,Acer rubrum,9.7761892
Leaf area,Bromus inermis,9.78
Leaf potassium (K) content per dry mass,Pteridium aquilinum,9.781319919
Leaf respiration per dry mass,Quercus rubra,9.784955046
Leaf area,Solidago canadensis,9.79
Leaf area,Betula populifolia,9.7924
Leaf potassium (K) content per dry mass,Pteridium aquilinum,9.792555992
Leaf potassium (K) content per dry mass,Pteridium aquilinum,9.792555992
Leaf respiration per dry mass,Acer rubrum,9.795806259
Seed protein content per mass,Cephalanthus occidentalis,9.8
Leaf nitrogen (N) content per dry mass,Bromus inermis,9.8
Plant height vegetative,Maianthemum canadense,9.8
Photosynthesis per leaf area,Acer pensylvanicum,9.8
Leaf specific area (SLA),Acer saccharum,9.8
Leaf specific area (SLA),Quercus alba,9.8
Photosynthesis per leaf area,Rhamnus cathartica,9.8
Photosynthesis per leaf area,Betula papyrifera,9.8
Plant height vegetative,Helianthus tuberosus,9.8
Leaf nitrogen (N) content per dry mass,Pinus strobus,9.8
Leaf area,Solidago canadensis,9.8
Root nitrogen (N) content per dry mass,Acer saccharum,9.802
Leaf respiration per dry mass,Quercus rubra,9.805393825
Leaf area,Bromus ciliatus,9.81
Leaf respiration per dry mass,Quercus rubra,9.811293518
Photosynthesis per leaf area,Lobelia inflata,9.811515152
Leaf respiration per dry mass,Acer rubrum,9.81728017
Leaf nitrogen/phosphorus (N/P) ratio,Betula papyrifera,9.818181818
Root nitrogen (N) content per dry mass,Acer rubrum,9.82
Leaf potassium (K) content per dry mass,Pteridium aquilinum,9.820105944
Leaf potassium (K) content per dry mass,Pteridium aquilinum,9.820105944
Leaf respiration per dry mass,Acer saccharum,9.823637633
Leaf respiration per dry mass,Dodonaea viscosacuneata,9.824207536
Leaf carbon/nitrogen (C/N) ratio,Trifolium pratense,9.829796791
Leaf specific area (SLA),Juncus filiformis,9.83
Leaf specific area (SLA),Juncus filiformis,9.83
Leaf area,Bromus inermis,9.83
Leaf area,Solidago canadensis,9.83
Stem dry mass per plant,Asclepias syriaca,9.85
Leaf nitrogen/phosphorus (N/P) ratio,Populus deltoides,9.85
Leaf area,Daucus carota,9.85
Leaf respiration per dry mass,Quercus rubra,9.853358285
Leaf respiration per dry mass,Acer saccharum,9.856491792
Leaf potassium (K) content per dry mass,Pteridium aquilinum,9.862665558
Leaf nitrogen/phosphorus (N/P) ratio,Pinus strobus,9.866666667
Leaf area,Plantago major,9.87
Leaf area,Plantago major,9.87
Root nitrogen (N) content per dry mass,Quercus macrocarpa,9.876275
Leaf respiration per dry mass,Acer rubrum,9.876690724
Leaf area,Solidago canadensis,9.88
Leaf area,Solidago canadensis,9.88
Leaf potassium (K) content per dry mass,Pteridium aquilinum,9.888373915
Leaf nitrogen/phosphorus (N/P) ratio,Galium boreale,9.888888889
Root nitrogen (N) content per dry mass,Betula alleghaniensis,9.89
Leaf area,Solidago canadensis,9.89
Leaf respiration per dry mass,Acer rubrum,9.891088
Leaf respiration per dry mass,Acer rubrum,9.891088
Leaf potassium (K) content per dry mass,Pteridium aquilinum,9.893437217
Photosynthesis per leaf area,Acer pensylvanicum,9.9
Plant height vegetative,Alnus incana,9.9
Leaf specific area (SLA),Prunus serotina,9.9
Leaf specific area (SLA),Prunus serotina,9.9
Leaf specific area (SLA),Prunus serotina,9.9
Leaf nitrogen (N) content per dry mass,Tsuga canadensis,9.9
Leaf specific area (SLA),Prunus serotina,9.9
Leaf nitrogen (N) content per dry mass,Tsuga canadensis,9.9
Leaf specific area (SLA),Prunus serotina,9.9
Stem nitrogen (N) content per dry mass,Betula papyrifera,9.9
Stem nitrogen (N) content per dry mass,Betula papyrifera,9.9
Stem nitrogen (N) content per dry mass,Betula papyrifera,9.9
Stem nitrogen (N) content per dry mass,Betula papyrifera,9.9
Leaf nitrogen (N) content per dry mass,Tsuga canadensis,9.9
Leaf nitrogen (N) content per dry mass,Abies balsamea,9.9
Leaf nitrogen (N) content per dry mass,Abies balsamea,9.9
Root nitrogen (N) content per dry mass,Betula papyrifera,9.9
Photosynthesis per leaf area,Populus tremuloides,9.9
Leaf area,Bromus inermis,9.9
Photosynthesis per leaf area,Trifolium pratense,9.9
Plant height vegetative,Prunella vulgaris,9.9
Leaf respiration per dry mass,Quercus alba,9.907895406
Leaf respiration per dry mass,Acer rubrum,9.908692
Leaf respiration per dry mass,Acer rubrum,9.908692
Leaf nitrogen/phosphorus (N/P) ratio,Arisaema triphyllum,9.909090909
Leaf area,Solidago canadensis,9.92
Leaf area,Solidago canadensis,9.92
Leaf specific area (SLA),Achillea millefolium,9.920034409
Leaf respiration per dry mass,Quercus rubra,9.923976638
Leaf area,Fraxinus americana,9.9287
Leaf respiration per dry mass,Tilia americana,9.9293731
Leaf area,Solidago canadensis,9.93
"Leaf dry mass per plant dry mass (leaf weight ratio, LWR)",Erigeron annuus,9.933035714
Leaf area,Centaurea jacea,9.94
Leaf potassium (K) content per dry mass,Solidago altissima,9.942708266
Leaf respiration per dry mass,Quercus alba,9.944696094
Leaf respiration per dry mass,Acer rubrum,9.947261783
Leaf respiration per dry mass,Pinus strobus,9.955722941
Leaf respiration per dry mass,Quercus rubra,9.961969057
Leaf nitrogen/phosphorus (N/P) ratio,Lotus corniculatus,9.962962963
Leaf respiration per dry mass,Ostrya virginiana,9.963765
Leaf respiration per dry mass,Ostrya virginiana,9.963765
Leaf area,Solidago canadensis,9.97
Leaf area,Solidago canadensis,9.97
Leaf respiration per dry mass,Betula papyrifera,9.970983279
Leaf potassium (K) content per dry mass,Matteuccia struthiopteris,9.98506754
Leaf area,Solidago canadensis,9.99
Leaf area,Solidago canadensis,9.99
Leaf respiration per dry mass,Acer rubrum,9.991402952
Plant height vegetative,Sambucus nigra,10
Leaf nitrogen/phosphorus (N/P) ratio,Thuja occidentalis,10
Seed mass,Rosa multiflora,10
Seed mass,Eupatorium perfoliatum,10
Seed mass,Mimulus ringens,10
Plant height vegetative,Glechoma hederacea,10
Plant height vegetative,Trifolium repens,10
Plant height vegetative,Sambucus nigra,10
Plant height vegetative,Sambucus nigra,10
Plant height vegetative,Sambucus nigra,10
Plant height vegetative,Sambucus nigra,10
Plant height vegetative,Parthenocissus quinquefolia,10
Plant height vegetative,Prunus virginiana,10
Plant height vegetative,Salix alba,10
Plant height vegetative,Sambucus nigra,10
Plant height generative,Parthenocissus quinquefolia,10
Seed number per reproducton unit,Plantago major,10
Plant height vegetative,Sambucus nigra,10
Plant height vegetative,Sambucus nigra,10
Phenology: reproductive,Achillea millefolium,10
Phenology: reproductive,Ambrosia artemisiifolia,10
Phenology: reproductive,Ambrosia trifida,10
Phenology: reproductive,Asclepias syriaca,10
Phenology: reproductive,Bidens connata,10
Phenology: reproductive,Chelidonium majus,10
Phenology: reproductive,Digitaria sanguinalis,10
Phenology: reproductive,Echinochloa muricata,10
Phenology: reproductive,Chamaesyce maculata,10
Phenology: reproductive,Galium aparine,10
Phenology: reproductive,Helianthus tuberosus,10
Phenology: reproductive,Impatiens capensis,10
Phenology: reproductive,Leersia oryzoides,10
Phenology: reproductive,Leucanthemum vulgare,10
Phenology: reproductive,Linaria vulgaris,10
Phenology: reproductive,Plantago lanceolata,10
Phenology: reproductive,Plantago major,10
Phenology: reproductive,Solidago canadensis,10
Phenology: reproductive,Sonchus oleraceus,10
Phenology: reproductive,Urtica dioica,10
Phenology: reproductive,Veronica anagallis-aquatica,10
Dispersal unit width,Solanum dulcamara,10
Dispersal unit length,Solanum dulcamara,10
Plant height vegetative,Acer spicatum,10
Plant height vegetative,Hamamelis virginiana,10
Plant height vegetative,Malus pumila,10
Plant height vegetative,Sambucus nigra,10
Plant height vegetative,Sambucus nigra,10
Leaf nitrogen/phosphorus (N/P) ratio,Betula papyrifera,10
Leaf nitrogen/phosphorus (N/P) ratio,Populus deltoides,10
Leaf nitrogen/phosphorus (N/P) ratio,Populus deltoides,10
Leaf nitrogen/phosphorus (N/P) ratio,Betula alleghaniensis,10
Leaf nitrogen/phosphorus (N/P) ratio,Tilia americana,10
Leaf specific area (SLA),Betula papyrifera,10
Leaf specific area (SLA),Quercus rubra,10
Photosynthesis per leaf area,Catalpa speciosa,10
Leaf respiration per dry mass,Quercus rubra,10
Rooting depth,Adiantum pedatum,10
Plant tolerance to precipitation,Alnus incana,10
Plant height vegetative,Cornus amomum,10
Rooting depth,Cornus canadensis,10
Plant height vegetative,Cornus rugosa,10
Rooting depth,Decodon verticillatus,10
Plant tolerance to precipitation,Glyceria striata,10
Rooting depth,Heliopsis helianthoides,10
Rooting depth,Heuchera sanguinea,10
Rooting depth,Hypericum punctatum,10
Rooting depth,Lonicera japonica,10
Rooting depth,Ludwigia palustris,10
Rooting depth,Lycopus americanus,10
Rooting depth,Lycopus rubellus,10
Rooting depth,Oenothera biennis,10
Rooting depth,Phleum pratense,10
Rooting depth,Polygonum hydropiperoides,10
Rooting depth,Prunella vulgaris,10
Plant height vegetative,Prunus serotina,10
Rooting depth,Pteridium aquilinum,10
Plant tolerance to precipitation,Ranunculus pensylvanicus,10
Plant tolerance to precipitation,Rhamnus alnifolia,10
Rooting depth,Rudbeckia hirta,10
Plant tolerance to precipitation,Sambucus nigra,10
Rooting depth,Saponaria officinalis,10
Rooting depth,Symphyotrichum cordifolium,10
Rooting depth,Symphyotrichum prenanthoides,10
Plant tolerance to frost,Rhamnus alnifolia,10
Plant height vegetative,Viburnum lantanoides,10
Plant height vegetative,Viburnum lantanoides,10
Leaf porosity,Acer negundo,10
Leaf porosity,Circaea lutetiana,10
Leaf porosity,Xanthium strumarium,10
Leaf porosity,Acer negundo,10
Leaf porosity,Circaea lutetiana,10
Leaf porosity,Xanthium strumarium,10
Photosynthesis per leaf area,Populus tremuloides,10
Plant height vegetative,Taraxacum officinale,10
Plant height vegetative,Trifolium repens,10
Leaf area,Bromus inermis,10
Plant height vegetative,Taraxacum officinale,10
Plant height vegetative,Galium mollugo,10
Plant height vegetative,Galium mollugo,10
Plant height vegetative,Trifolium repens,10
Leaf area,Bromus inermis,10
Plant height vegetative,Centaurea jacea,10
Leaf area,Solidago canadensis,10
Leaf respiration per dry mass,Populus tremuloides,10.00005133
Leaf respiration per dry mass,Quercus alba,10.00344514
Leaf nitrogen/phosphorus (N/P) ratio,Thuja occidentalis,10.0048359
Leaf nitrogen/phosphorus (N/P) ratio,Thuja occidentalis,10.0048359
Leaf respiration per dry mass,Pinus strobus,10.006
Leaf respiration per dry mass,Prunus virginiana,10.00945938
Leaf area,Solidago canadensis,10.01
Leaf respiration per dry mass,Pinus strobus,10.01842252
Root nitrogen (N) content per dry mass,Acer saccharum,10.02
Leaf potassium (K) content per dry mass,Solidago altissima,10.02127059
Leaf respiration per dry mass,Prunus virginiana,10.02748781
Leaf respiration per dry mass,Acer rubrum,10.02784849
Leaf respiration per dry mass,Tilia americana,10.028
Leaf respiration per dry mass,Tilia americana,10.028
Root nitrogen (N) content per dry mass,Acer saccharum,10.028
Photosynthesis per leaf area,Dodonaea viscosacuneata,10.04
Leaf area,Daucus carota,10.04
Leaf area,Centaurea jacea,10.04
Leaf respiration per dry mass,Pinus strobus,10.047
Leaf nitrogen/phosphorus (N/P) ratio,Acer platanoides,10.05
Leaf area,Bromus inermis,10.05
Leaf area,Centaurea jacea,10.05
Leaf area,Solidago canadensis,10.05
Leaf area,Solidago canadensis,10.05
Leaf area,Solidago canadensis,10.06
Leaf area,Bromus inermis,10.06
Leaf nitrogen/phosphorus (N/P) ratio,Pinus strobus,10.0625
Leaf area,Solidago canadensis,10.07
Leaf area,Centaurea jacea,10.07
Leaf carbon/nitrogen (C/N) ratio,Impatiens capensis,10.07825565
Leaf respiration per dry mass,Betula papyrifera,10.08189
Leaf respiration per dry mass,Betula papyrifera,10.08189
Leaf area,Impatiens pallida,10.0823
Leaf respiration per dry mass,Pinus strobus,10.08347464
Leaf respiration per dry mass,Quercus alba,10.08485134
Leaf nitrogen/phosphorus (N/P) ratio,Sonchus oleraceus,10.0867052
Leaf specific area (SLA),Juncus articulatus,10.09
Leaf respiration per dry mass,Abies balsamea,10.09030745
Leaf potassium (K) content per dry mass,Pteridium aquilinum,10.09410791
Leaf potassium (K) content per dry mass,Pteridium aquilinum,10.09410791
Leaf area,Trifolium pratense,10.1
Seed number per reproducton unit,Trifolium repens,10.1
Seed number per reproducton unit,Trifolium repens,10.1
Dispersal unit length,Bidens frondosa,10.1
Dispersal unit length,Bidens frondosa,10.1
Leaf respiration per dry mass,Quercus rubra,10.1
Leaf nitrogen (N) content per dry mass,Abies balsamea,10.1
Leaf nitrogen (N) content per dry mass,Abies balsamea,10.1
Leaf nitrogen (N) content per dry mass,Pinus strobus,10.1
Root nitrogen (N) content per dry mass,Acer saccharum,10.1
Leaf area,Centaurea jacea,10.1
Photosynthesis per leaf area,Trifolium repens,10.1
Photosynthesis per leaf area,Taraxacum officinale,10.1
Leaf specific area (SLA),Salix alba,10.1010101
Leaf specific area (SLA),Salix alba,10.1010101
Leaf specific area (SLA),Juncus filiformis,10.11
Leaf nitrogen (N) content per dry mass,Abies balsamea,10.11
Leaf carbon/nitrogen (C/N) ratio,Trifolium repens,10.119732
Leaf area,Solidago canadensis,10.12
Leaf respiration per dry mass,Acer saccharum,10.12077158
Leaf respiration per dry mass,Pinus strobus,10.124
Leaf area,Acer rubrum,10.13
Leaf area,Bromus inermis,10.13
Leaf area,Solidago canadensis,10.13
Leaf carbon/nitrogen (C/N) ratio,Glechoma hederacea,10.13314832
Leaf respiration per dry mass,Quercus alba,10.13807758
Leaf area,Daucus carota,10.14
Leaf respiration per dry mass,Quercus rubra,10.14187917
Leaf respiration per dry mass,Quercus alba,10.14312567
Leaf nitrogen/phosphorus (N/P) ratio,Acer rubrum,10.15
Leaf area,Solidago canadensis,10.15
Leaf area,Bromus inermis,10.15
Leaf area,Solidago canadensis,10.15
Root nitrogen (N) content per dry mass,Acer saccharum,10.153
Root nitrogen (N) content per dry mass,Acer saccharum,10.153
Leaf area,Bromus inermis,10.16
Leaf specific area (SLA),Achillea millefolium,10.16563308
Leaf respiration per dry mass,Betula papyrifera,10.1753431
Leaf area,Solidago canadensis,10.18
Leaf area,Bromus inermis,10.18
Leaf area,Solidago canadensis,10.18
Leaf nitrogen (N) content per dry mass,Plantago lanceolata,10.2
Plant height vegetative,Daucus carota,10.2
Plant height vegetative,Galium boreale,10.2
Plant height vegetative,Galium boreale,10.2
Plant height vegetative,Galium boreale,10.2
Plant height vegetative,Galium boreale,10.2
Plant height vegetative,Maianthemum canadense,10.2
Plant height vegetative,Panicum capillare,10.2
Leaf area,Verbena hastata,10.2
Photosynthesis per leaf area,Acer rubrum,10.2
Photosynthesis per leaf area,Acer rubrum,10.2
Leaf nitrogen (N) content per dry mass,Abies balsamea,10.2
Photosynthesis per leaf area,Maianthemum racemosum,10.2
Leaf area,Solidago canadensis,10.2
Leaf area,Solidago canadensis,10.2
Leaf area,Bromus inermis,10.2
Photosynthesis per leaf area,Taraxacum officinale,10.2
Leaf respiration per dry mass,Acer saccharum,10.20701756
Leaf area,Bromus inermis,10.21
Leaf nitrogen/phosphorus (N/P) ratio,Urtica dioica,10.21001616
Leaf respiration per dry mass,Pinus strobus,10.21697777
Leaf respiration per dry mass,Acer rubrum,10.21849439
Root nitrogen (N) content per dry mass,Acer saccharum,10.221
Leaf respiration per dry mass,Acer rubrum,10.22292
Leaf respiration per dry mass,Acer rubrum,10.22292
Leaf specific area (SLA),Myrica gale,10.22494888
Leaf specific area (SLA),Myrica gale,10.22494888
Leaf respiration per dry mass,Quercus rubra,10.22835772
Leaf respiration per dry mass,Quercus alba,10.23495936
Root nitrogen (N) content per dry mass,Acer saccharum,10.237
Leaf respiration per dry mass,Pinus strobus,10.24001004
"Leaf dry mass per plant dry mass (leaf weight ratio, LWR)",Erigeron annuus,10.24478694
Leaf respiration per dry mass,Acer rubrum,10.24488293
Leaf area,Prunus virginiana,10.24833333
Stem dry mass per plant,Verbena hastata,10.25
Leaf nitrogen/phosphorus (N/P) ratio,Populus deltoides,10.25
Leaf respiration per dry mass,Quercus alba,10.2592959
Root nitrogen (N) content per dry mass,Acer saccharum,10.26
Leaf area,Solidago canadensis,10.26
Leaf nitrogen/phosphorus (N/P) ratio,Glechoma hederacea,10.26461801
Leaf nitrogen/phosphorus (N/P) ratio,Quercus alba,10.26923077
Leaf area,Solidago canadensis,10.27
Leaf nitrogen/phosphorus (N/P) ratio,Fraxinus pennsylvanica,10.27272727
Leaf area,Taraxacum officinale,10.27666667
Leaf respiration per dry mass,Betula papyrifera,10.28384
Leaf respiration per dry mass,Betula papyrifera,10.28384
Leaf area,Bromus inermis,10.29
Leaf area,Solidago canadensis,10.29
Photosynthesis per leaf area,Rudbeckia hirta,10.2967555
Leaf nitrogen/phosphorus (N/P) ratio,Betula alleghaniensis,10.29739777
Photosynthesis per leaf area,Quercus rubra,10.3
Leaf nitrogen (N) content per dry mass,Abies balsamea,10.3
Leaf nitrogen (N) content per dry mass,Abies balsamea,10.3
Leaf specific area (SLA),Polygonum lapathifolium,10.3
Leaf area,Solidago canadensis,10.3
Leaf area,Bromus inermis,10.303
Leaf respiration per dry mass,Acer saccharum,10.30500579
Leaf respiration per dry mass,Populus tremuloides,10.30547237
Leaf potassium (K) content per dry mass,Acer platanoides,10.30666667
Leaf respiration per dry mass,Fraxinus americana,10.30827414
Leaf area,Solidago canadensis,10.31
Leaf respiration per dry mass,Acer rubrum,10.3120348
Leaf respiration per dry mass,Acer rubrum,10.31443
Leaf respiration per dry mass,Acer rubrum,10.31443
Leaf nitrogen/phosphorus (N/P) ratio,Fraxinus pennsylvanica,10.31543624
Leaf respiration per dry mass,Achillea millefolium,10.31787193
Leaf nitrogen/phosphorus (N/P) ratio,Fraxinus pennsylvanica,10.31914894
Plant height vegetative,Lotus corniculatus,10.32
Photosynthesis per leaf area,Bromus inermis,10.33112583
Leaf nitrogen/phosphorus (N/P) ratio,Solidago gigantea,10.33333333
Leaf nitrogen/phosphorus (N/P) ratio,Tilia americana,10.33333333
Leaf area,Bromus inermis,10.34
Leaf area,Plantago lanceolata,10.34
Leaf respiration per dry mass,Pinus strobus,10.343
Leaf respiration per dry mass,Thuja occidentalis,10.34371085
Leaf area,Centaurea jacea,10.35
Photosynthesis per leaf area,Rudbeckia hirta,10.355524
Leaf area,Bromus inermis,10.36
Photosynthesis per leaf area,Rudbeckia hirta,10.360445
Leaf respiration per dry mass,Ostrya virginiana,10.36239844
Leaf nitrogen/phosphorus (N/P) ratio,Tussilago farfara,10.36363636
Leaf respiration per dry mass,Acer rubrum,10.365803
Leaf area,Solidago canadensis,10.37
Leaf area,Solidago canadensis,10.37
Leaf area,Bromus inermis,10.37
Leaf potassium (K) content per dry mass,Betula papyrifera,10.37349118
Leaf area,Bromus inermis,10.38
Leaf area,Solidago canadensis,10.38
Photosynthesis per leaf area,Rudbeckia hirta,10.386547
Leaf specific area (SLA),Acer rubrum,10.3950104
Leaf specific area (SLA),Quercus rubra,10.4
Leaf specific area (SLA),Quercus rubra,10.4
Leaf nitrogen/phosphorus (N/P) ratio,Populus deltoides,10.4
Leaf area,Populus tremuloides,10.4
Leaf respiration per dry mass,Quercus alba,10.40781146
Leaf area,Solidago canadensis,10.41
Leaf area,Solidago canadensis,10.41
Leaf area,Solidago canadensis,10.41
Leaf nitrogen/phosphorus (N/P) ratio,Circaea lutetiana,10.41666667
Leaf area,Prunus virginiana,10.4273525
Leaf nitrogen/phosphorus (N/P) ratio,Populus deltoides,10.42824538
Leaf nitrogen/phosphorus (N/P) ratio,Ulmus americana,10.42824538
Leaf specific area (SLA),Ulmus rubra,10.43
Leaf respiration per dry mass,Pinus strobus,10.43
Leaf respiration per dry mass,Acer saccharum,10.43040374
Leaf nitrogen/phosphorus (N/P) ratio,Populus deltoides,10.43478261
Leaf nitrogen/phosphorus (N/P) ratio,Ulmus americana,10.43478261
Leaf nitrogen/phosphorus (N/P) ratio,Acer negundo,10.43478261
Leaf nitrogen/phosphorus (N/P) ratio,Populus deltoides,10.43478261
Leaf nitrogen/phosphorus (N/P) ratio,Ulmus americana,10.43478261
Leaf nitrogen/phosphorus (N/P) ratio,Acer rubrum,10.4375
Leaf specific area (SLA),Achillea millefolium,10.43800721
Leaf area,Bromus inermis,10.44
Plant height vegetative,Dactylis glomerata,10.45
Leaf area,Bromus inermis,10.45
Leaf nitrogen/phosphorus (N/P) ratio,Abies balsamea,10.45333333
Leaf potassium (K) content per dry mass,Solidago altissima,10.45449497
Root nitrogen (N) content per dry mass,Acer saccharum,10.456
Leaf area,Betula populifolia,10.4573
Leaf respiration per dry mass,Quercus rubra,10.46565131
Photosynthesis per leaf area,Rubus hispidus,10.47128548
Leaf nitrogen/phosphorus (N/P) ratio,Betula papyrifera,10.47619048
Leaf nitrogen/phosphorus (N/P) ratio,Quercus alba,10.47619048
Leaf nitrogen/phosphorus (N/P) ratio,Betula papyrifera,10.47619048
Leaf nitrogen/phosphorus (N/P) ratio,Quercus alba,10.47619048
Leaf respiration per dry mass,Tilia americana,10.4791702
Leaf respiration per dry mass,Tilia americana,10.4791702
Leaf respiration per dry mass,Tilia americana,10.48
Leaf respiration per dry mass,Tilia americana,10.48
Leaf specific area (SLA),Solidago canadensis,10.48
Leaf area,Centaurea jacea,10.48
Leaf nitrogen (N) content,Acer platanoides,10.48138924
Leaf nitrogen/phosphorus (N/P) ratio,Betula papyrifera,10.48148171
Leaf nitrogen/phosphorus (N/P) ratio,Quercus alba,10.48148171
Leaf respiration per dry mass,Acer rubrum,10.4893723
Leaf area,Solidago canadensis,10.49
Leaf respiration per dry mass,Quercus rubra,10.49000615
Photosynthesis per leaf area,Prunus serotina,10.5
Leaf nitrogen/phosphorus (N/P) ratio,Quercus macrocarpa,10.5
Leaf nitrogen/phosphorus (N/P) ratio,Phleum pratense,10.5
Stem nitrogen (N) content per dry mass,Populus tremuloides,10.5
Stem nitrogen (N) content per dry mass,Populus tremuloides,10.5
Stem nitrogen (N) content per dry mass,Populus tremuloides,10.5
Stem nitrogen (N) content per dry mass,Populus tremuloides,10.5
Leaf nitrogen (N) content per dry mass,Abies balsamea,10.5
Leaf nitrogen (N) content per dry mass,Pinus strobus,10.5
Leaf nitrogen (N) content per dry mass,Abies balsamea,10.5
Leaf area,Solidago canadensis,10.5
Leaf carbon/nitrogen (C/N) ratio,Dactylis glomerata,10.50249949
Leaf respiration per dry mass,Tilia americana,10.51
Leaf respiration per dry mass,Tilia americana,10.51
Leaf respiration per dry mass,Acer rubrum,10.51321
Leaf respiration per dry mass,Acer rubrum,10.51321
Leaf nitrogen/phosphorus (N/P) ratio,Acer rubrum,10.52034533
Leaf respiration per dry mass,Quercus alba,10.52268461
Leaf potassium (K) content per dry mass,Daucus carota,10.52406404
Leaf nitrogen/phosphorus (N/P) ratio,Acer rubrum,10.52631579
Leaf nitrogen/phosphorus (N/P) ratio,Acer rubrum,10.52631579
Leaf respiration per dry mass,Quercus rubra,10.528162
Leaf area,Bromus inermis,10.53
Photosynthesis per leaf area,Rubus hispidus,10.536397
Leaf area,Taraxacum officinale,10.54
Leaf respiration per dry mass,Quercus rubra,10.54089049
Leaf dry matter content (LDMC),Achillea millefolium,10.54321206
Leaf nitrogen/phosphorus (N/P) ratio,Populus deltoides,10.54545455
Leaf respiration per dry mass,Betula papyrifera,10.54714293
Leaf nitrogen (N) content per dry mass,Pinus strobus,10.55
Leaf area,Solidago canadensis,10.55
Leaf respiration per dry mass,Acer rubrum,10.55530741
Leaf respiration per dry mass,Betula papyrifera,10.55731077
Leaf area,Solidago canadensis,10.56
Leaf area,Maianthemum canadense,10.57
Leaf area,Solidago canadensis,10.57
Leaf nitrogen/phosphorus (N/P) ratio,Populus deltoides,10.57894737
Leaf respiration per dry mass,Quercus alba,10.57955338
Leaf area,Solidago canadensis,10.58
