PartSite,Species,Presence
Ballston Creek N,Bidens frondosa,1
Big Brook N,Bidens frondosa,1
Cobleskill Creek N,Bidens frondosa,1
Evas Kill N,Bidens frondosa,1
Indian Kill N,Bidens frondosa,1
Kayaderosseras Creek N,Bidens frondosa,1
Landsman Kill N,Bidens frondosa,1
Potic Creek N,Bidens frondosa,1
Quacken Kill N,Bidens frondosa,1
Snook Kill N,Bidens frondosa,1
Stony Creek N,Bidens frondosa,1
Sterling Creek N,Blephilia hirsuta,1
Cadman Creek N,Boehmeria cylindrica,1
Indian Brook N,Boehmeria cylindrica,1
Kinderhook Creek N,Boehmeria cylindrica,1
Landsman Kill N,Boehmeria cylindrica,1
Mill Brook N,Boehmeria cylindrica,1
Potic Creek N,Boehmeria cylindrica,1
Trout Brook N,Boehmeria cylindrica,1
Alplaus Kill N,Brachyelytrum aristosum,1
Bullhead Pond Brook N,Brachyelytrum aristosum,1
Cadman Creek N,Brachyelytrum aristosum,1
Daly Creek N,Brachyelytrum aristosum,1
Hans Creek N,Brachyelytrum aristosum,1
Indian Brook N,Brachyelytrum aristosum,1
Indian Kill N,Brachyelytrum aristosum,1
Landsman Kill N,Brachyelytrum aristosum,1
Mill Creek N,Brachyelytrum aristosum,1
North Branch West Stony Creek N,Brachyelytrum aristosum,1
Potic Creek N,Brachyelytrum aristosum,1
Quacken Kill N,Brachyelytrum aristosum,1
Robbs Creek N,Brachyelytrum aristosum,1
Saw Kill N,Brachyelytrum aristosum,1
Sherriff Lake Outlet N,Brachyelytrum aristosum,1
Stewart Creek N,Brachyelytrum aristosum,1
Stony Creek N,Brachyelytrum aristosum,1
Trout Brook N,Brachyelytrum aristosum,1
Robbs Creek N,Bromus ciliatus,1
Mill Creek N,Bromus pubescens,1
Ballston Creek N,Carex crinita,1
Beaver Kill N,Carex crinita,1
Cadman Creek N,Carex crinita,1
Daly Creek N,Carex crinita,1
Four Mile Brook N,Carex crinita,1
Hans Creek N,Carex crinita,1
Kayaderosseras Creek N,Carex crinita,1
Kayaderosseras Creek N,Carex crinita,1
Keyser Kill N,Carex crinita,1
Potic Creek N,Carex crinita,1
Sherriff Lake Outlet N,Carex crinita,1
Keyser Kill N,Carex scoparia,1
Cadman Creek N,Chelone glabra,1
Cedar River N,Chelone glabra,1
Four Mile Brook N,Chelone glabra,1
Mill Creek N,Chelone glabra,1
New Pond Brook N,Chelone glabra,1
North Branch West Stony Creek N,Chelone glabra,1
Robbs Creek N,Chelone glabra,1
Sherriff Lake Outlet N,Chelone glabra,1
Trout Brook N,Chelone glabra,1
Ballston Creek N,Cicuta maculata,1
Big Brook N,Cicuta maculata,1
Cedar River N,Cicuta maculata,1
Evas Kill N,Cicuta maculata,1
Kinderhook Creek N,Cicuta maculata,1
Mill Creek N,Cicuta maculata,1
Plotter Kill N,Cicuta maculata,1
Quacken Kill N,Cicuta maculata,1
Steele Creek N,Cicuta maculata,1
Sterling Creek N,Cicuta maculata,1
Stewart Creek N,Cicuta maculata,1
Timmerman Creek N,Cicuta maculata,1
Cadman Creek N,Cinna arundinacea,1
Evas Kill N,Cinna arundinacea,1
Quacken Kill N,Cinna arundinacea,1
Snook Kill N,Cinna arundinacea,1
Cadman Creek N,Circaea lutetiana,1
Daly Creek N,Circaea lutetiana,1
Evas Kill N,Circaea lutetiana,1
Indian Brook N,Circaea lutetiana,1
Indian Kill N,Circaea lutetiana,1
Potic Creek N,Circaea lutetiana,1
Robbs Creek N,Circaea lutetiana,1
Stony Creek N,Circaea lutetiana,1
Wharton Hollow Creek N,Circaea lutetiana,1
Beaver Kill N,Clematis virginiana,1
Big Brook N,Clematis virginiana,1
Boreas River N,Clematis virginiana,1
Cadman Creek N,Clematis virginiana,1
Cedar River N,Clematis virginiana,1
Daly Creek N,Clematis virginiana,1
Fawn Lake N,Clematis virginiana,1
Four Mile Brook N,Clematis virginiana,1
Mill Creek N,Clematis virginiana,1
North Branch West Stony Creek N,Clematis virginiana,1
Quacken Kill N,Clematis virginiana,1
Robbs Creek N,Clematis virginiana,1
Sherriff Lake Outlet N,Clematis virginiana,1
Sprout Creek N,Clematis virginiana,1
Sterling Creek N,Clematis virginiana,1
Stewart Creek N,Clematis virginiana,1
Timmerman Creek N,Clematis virginiana,1
Trout Brook N,Clematis virginiana,1
Wharton Hollow Creek N,Clematis virginiana,1
Beaver Kill N,Clinopodium vulgare,1
Evas Kill N,Collinsonia canadensis,1
Evas Kill N,Cryptotaenia canadensis,1
Ballston Creek N,Cyperus strigosus,1
Chester Creek N,Cyperus strigosus,1
Kayaderosseras Creek N,Cyperus strigosus,1
Battenkill N,Dichanthelium clandestinum,1
Beaver Kill N,Dichanthelium clandestinum,1
Cadman Creek N,Dichanthelium clandestinum,1
Cedar River N,Dichanthelium clandestinum,1
Hans Creek N,Dichanthelium clandestinum,1
Indian Brook N,Dichanthelium clandestinum,1
Indian Kill N,Dichanthelium clandestinum,1
Kayaderosseras Creek N,Dichanthelium clandestinum,1
Kennyetto Creek N,Dichanthelium clandestinum,1
Kinderhook Creek N,Dichanthelium clandestinum,1
Mill Brook N,Dichanthelium clandestinum,1
North Branch West Stony Creek N,Dichanthelium clandestinum,1
Potic Creek N,Dichanthelium clandestinum,1
Quacken Kill N,Dichanthelium clandestinum,1
Roeliff Jansen Kill N,Dichanthelium clandestinum,1
Snook Kill N,Dichanthelium clandestinum,1
Trout Brook N,Dichanthelium clandestinum,1
Fishkill Creek N,Dioscorea villosa,1
Boreas River N,Doellingeria umbellata,1
Cedar River N,Doellingeria umbellata,1
Daly Creek N,Doellingeria umbellata,1
Four Mile Brook N,Doellingeria umbellata,1
Hans Creek N,Doellingeria umbellata,1
Hudson River N,Doellingeria umbellata,1
Jassup River N,Doellingeria umbellata,1
Lansing Kill N,Doellingeria umbellata,1
Mill Brook N,Doellingeria umbellata,1
Mill Creek N,Doellingeria umbellata,1
Minots Corner Road N,Doellingeria umbellata,1
North Branch West Stony Creek N,Doellingeria umbellata,1
Robbs Creek N,Doellingeria umbellata,1
Snook Kill N,Doellingeria umbellata,1
Stewart Creek N,Doellingeria umbellata,1
Trout Brook N,Doellingeria umbellata,1
Lansing Kill N,Dryopteris carthusiana,1
Stewart Creek N,Dryopteris carthusiana,1
Evas Kill N,Dryopteris cristata,1
Ballston Creek N,Echinocystis lobata,1
Kayaderosseras Creek N,Echinocystis lobata,1
Alplaus Kill N,Elymus canadensis,1
Alplaus Kill N,Elymus canadensis,1
Boreas River N,Elymus canadensis,1
Cadman Creek N,Elymus canadensis,1
Hudson River N,Elymus canadensis,1
Indian Kill N,Elymus canadensis,1
Jassup River N,Elymus canadensis,1
Kinderhook Creek N,Elymus canadensis,1
Mill Brook N,Elymus canadensis,1
New Pond Brook N,Elymus canadensis,1
Plotter Kill N,Elymus canadensis,1
Quacken Kill N,Elymus canadensis,1
Robbs Creek N,Elymus canadensis,1
Snook Kill N,Elymus canadensis,1
Stony Creek N,Elymus hystrix,1
Cedar River N,Elymus trachycaulus,1
Beaver Kill N,Elymus virginicus,1
Saw Kill N,Elymus virginicus,1
Evas Kill N,Epilobium ciliatum,1
Snook Kill N,Epilobium ciliatum,1
Battenkill N,Equisetum fluviatile,1
Keyser Kill N,Equisetum fluviatile,1
Timmerman Creek N,Equisetum fluviatile,1
Timmerman Creek N,Equisetum hyemale,1
Cedar River N,Equisetum palustre,1
Alplaus Kill N,Equisetum pratense,1
Boreas River N,Equisetum pratense,1
Hans Creek N,Equisetum pratense,1
Potic Creek N,Equisetum pratense,1
Sherriff Lake Outlet N,Equisetum pratense,1
Snook Kill N,Equisetum pratense,1
Sterling Creek N,Equisetum pratense,1
Wappinger Creek N,Equisetum pratense,1
Keyser Kill N,Erigeron annuus,1
Kinderhook Creek N,Erigeron annuus,1
Landsman Kill N,Erigeron annuus,1
Paragon Brook N,Erigeron annuus,1
Potic Creek N,Erigeron annuus,1
Evas Kill N,Eupatorium perfoliatum,1
Fawn Lake N,Eupatorium perfoliatum,1
Mill Brook N,Eupatorium perfoliatum,1
Robbs Creek N,Eupatorium perfoliatum,1
Wharton Hollow Creek N,Eupatorium perfoliatum,1
Kayaderosseras Creek N,Euphorbia maculata,1
Alplaus Kill N,Eurybia divaricata,1
Ballston Creek N,Eurybia divaricata,1
Battenkill N,Eurybia divaricata,1
Daly Creek N,Eurybia divaricata,1
Fawn Lake N,Eurybia divaricata,1
Green River N,Eurybia divaricata,1
Hans Creek N,Eurybia divaricata,1
Indian Brook N,Eurybia divaricata,1
Indian Kill N,Eurybia divaricata,1
Kinderhook Creek N,Eurybia divaricata,1
Lansing Kill N,Eurybia divaricata,1
Potic Creek N,Eurybia divaricata,1
Quacken Kill N,Eurybia divaricata,1
Stony Creek N,Eurybia divaricata,1
Valatie Kill N,Eurybia divaricata,1
Cedar River N,Euthamia caroliniana,1
Beaver Kill N,Euthamia graminifolia,1
Boreas River N,Euthamia graminifolia,1
Cedar River N,Euthamia graminifolia,1
Chester Creek N,Euthamia graminifolia,1
Four Mile Brook N,Euthamia graminifolia,1
Jassup River N,Euthamia graminifolia,1
Kennyetto Creek N,Euthamia graminifolia,1
Landsman Kill N,Euthamia graminifolia,1
North Branch West Stony Creek N,Euthamia graminifolia,1
Potic Creek N,Euthamia graminifolia,1
Robbs Creek N,Euthamia graminifolia,1
Sterling Creek N,Euthamia graminifolia,1
Alplaus Kill N,Eutrochium maculatum,1
Boreas River N,Eutrochium maculatum,1
Cedar River N,Eutrochium maculatum,1
Cedar River N,Eutrochium maculatum,1
Cobleskill Creek N,Eutrochium maculatum,1
Evas Kill N,Eutrochium maculatum,1
Fawn Lake N,Eutrochium maculatum,1
Four Mile Brook N,Eutrochium maculatum,1
Green River N,Eutrochium maculatum,1
Hudson River N,Eutrochium maculatum,1
Keyser Kill N,Eutrochium maculatum,1
Mill Brook N,Eutrochium maculatum,1
Mill Creek N,Eutrochium maculatum,1
Mohawk River N,Eutrochium maculatum,1
North Branch West Stony Creek N,Eutrochium maculatum,1
North Branch West Stony Creek N,Eutrochium maculatum,1
Paragon Brook N,Eutrochium maculatum,1
Quacken Kill N,Eutrochium maculatum,1
Robbs Creek N,Eutrochium maculatum,1
Sherriff Lake Outlet N,Eutrochium maculatum,1
Sherriff Lake Outlet N,Eutrochium maculatum,1
Timmerman Creek N,Eutrochium maculatum,1
Trout Brook N,Eutrochium maculatum,1
Wharton Hollow Creek N,Eutrochium maculatum,1
Alplaus Kill N,Eutrochium purpureum,1
Cadman Creek N,Eutrochium purpureum,1
Hans Creek N,Eutrochium purpureum,1
Hans Creek N,Eutrochium purpureum,1
Indian Kill N,Eutrochium purpureum,1
Kennyetto Creek N,Eutrochium purpureum,1
Kinderhook Creek N,Eutrochium purpureum,1
New Pond Brook N,Eutrochium purpureum,1
Quacken Kill N,Eutrochium purpureum,1
