River,Comm,Leaf C per dry mass,Leaf C to N ratio,Leaf weight ratio,Lamina thickness,Leaf N per dry mass,Leaf N to P ratio,Leaf P per dry mass,Leaf physical strength,Leaf K per dry mass,Leaf respiration per dry mass,SLA,Photosynthesis per leaf dry mass,RGR,Root N per dry mass,Rooting depth,Seed mass,Seed number per reproduction unit,Seed protein content per mass,SSD,Stomata conductance per leaf area,Wood dry mass per total dry mass
Bullhead Pond Brook,Bullhead Pond Brook Nat,47.61,23.056,6.58,182.565,7.305714286,10.49428571,1954.782857,NA,0.7075,9.03,133.5544444,91.972,0.07,7.216666667,25.42857143,13736.645,4,28.5,177.5375,162.41,86.11
Cadman Creek,Cadman Creek Nat,46.72,23.82090909,6.192857143,197,6.513157895,11.02333333,1762.457333,NA,1.742222222,10.05714286,1247.16381,91.58636364,0.116666667,8.601666667,19.27777778,196438.533,689257.49,21.325,110.2375,193.64625,69.205
Cedar River,Cedar River Nat,197.2028571,23.755,18.96,0.115,6.49375,8.19,1302.325714,3.39,0.72,NA,123.4208333,114.91,0.185,0.59,12.85714286,91732.59556,14787.94833,22.67666667,0.27,153,57.8875
Chester Creek,Chester Creek Nat,48.35,22.06,17.74,0.09,2.57,20.08,739.6125,3.48,0.72,NA,74.851,147.25,0.19,NA,15.65384615,232711.0818,282882.37,16.2,127.85,NA,61.59
Cobleskill Creek,Cobleskill Creek Nat,44.49833333,18.48,10.36333333,0.15,4.105714286,9.25,1185.57,3.84,1.19,10.1,1183.16,100.82,0.215,NA,13.71428571,23364.77667,156726.7467,30.1125,0.28,199.102,72.105
Daly Creek,Daly Creek Nat,105.4942857,20.505,9.086666667,95.445,7.846363636,10.03285714,1852.568571,3.3,5.45,6.48,1858.693571,97.9,0.115,3.683333333,14.55882353,173858.7829,457432.4367,19.855,172.36,99.125,74.84
Evas Kill,Evas Kill Nat,104.0342857,21.405,5.408333333,121.7566667,4.060666667,9.244285714,1349.5225,3.3,0.945,7.265,2245.411429,70.43666667,0.204285714,3.251666667,19.6,35156.73778,326698.9183,20.40428571,101.5157143,171.9028571,47.92
Fawn Lake,Fawn Lake Nat,45.72625,22.0075,11.73375,121.77,3.937857143,10.015,1642.6075,0.64,0.7325,13.285,398.2535714,72.72,0.15,11.13,17.05882353,24727.62619,183986.544,21.55,142.096,137.2416667,71.016
Fishkill Creek,Fishkill Creek Nat,46.38,19.01,21.28,NA,6.296666667,9.323333333,1769.783333,NA,1.1925,10.03333333,159.6777778,63.2,NA,NA,28.71428571,16271.46091,21763.31667,20.4,0.51,480.4,71.92
Four Mile Brook,Four Mile Brook Nat,187.6733333,25.665,6.49,0.306666667,8.281,12.42285714,1215.7325,4.16,0.966666667,NA,101.718,133.1525,0.16,0.59,13.88461538,112522.8319,205137.055,16.82166667,64.05,128.7766667,63.66
Green River,Green River Nat,44.755,24.865,27.175,NA,5.4,9.685,2041.615,NA,1.213333333,9.69,80.26,NA,0.18,NA,25.4,133661.9175,8499.43,25.1,0.46,NA,57.15
Hans Creek,Hans Creek Nat,187.8116667,25.80428571,14.64375,95.445,6.414,11.67916667,1648.124167,3.3,1.838888889,9.923333333,131.9873684,84.96444444,0.128333333,9.696666667,26.7,178289.5692,26545.67333,22.186,69.34,156.55,53.86666667
Hudson River,Hudson River Nat,186.9733333,27.34,0.605,87.26,8.732222222,10.61875,1559.86,3.3,0.616666667,8.695,77.69,87.23833333,0.1275,7.693333333,19.45,187121.8942,6692.71,22.37666667,304.7425,137.68,NA
Indian Brook,Indian Brook Nat,44.90833333,21.44,18.93333333,190.75,4.364,9.632857143,1640.934286,NA,0.95,11.285,2130.959167,204.7466667,0.125,5.23,16.66666667,44151.02389,15120.79,24.325,144.8066667,165.25,66.578
Indian Kill,Indian Kill Nat,91.19222222,19.52857143,16.38166667,87.26,7.195,9.495,1513.708333,3.3,2.405,15.1025,1663.766316,143.1916667,0.186666667,7,17.31578947,121167.4726,4428.418571,22.74555556,34.80375,199.785,63.32666667
Jassup River,Jassup River Nat,97.795,22.92333333,22.738,0.09,8.145,13.7475,1588.41,3.48,4.046666667,NA,114.494,221.235,0.172,NA,18.75,364710.3136,7206.67,11.8,127.895,0.3,54.42333333
Kayaderosseras Creek,Kayaderosseras Creek Nat,112.9216667,20.286,8.76,87.26,10.73454545,9.858333333,958.0766667,3.3,0.923333333,14.25666667,776.6185714,151.995,0.205,7.84,20,58887.64316,13538.20571,25.52571429,46.16333333,216.705,55.89
Kennyetto Creek,Kennyetto Creek Nat,46.31,19.43,17.74,0.09,6.04875,12.29833333,1647.944286,3.48,1.01,7.7,184.8433333,169.66,0.1625,16.7,24.38888889,78117.41467,249.1,23.86,72.974,NA,61.59
Keyser Kill,Keyser Kill Nat,122.0275,24.0775,13.613,63.68,6.666153846,10.08,1592.628889,3.57,4.03,8.29,357.021875,166.485,0.171666667,5.09,14,142828.3862,22792.773,15.64,144.7766667,175.3566667,66.07833333
Kinderhook Creek,Kinderhook Creek Nat,127.226,27.41,15.95,63.66,7.778571429,10.902,1477.756,3.39,2.261428571,8.135,140.3675,101.878,0.13,5.09,21.13333333,42884.14481,322565.2433,17.53285714,89.49571429,138.18,63.59
Landsman Kill,Landsman Kill Nat,46.464,18.976,13.92333333,0.09,3.812,9.467142857,1678.78125,3.48,1.06,6.06,750.3375,179.8833333,0.21,16.7,20.25,21812.15529,15836.36667,28.15,203.0225,94.03333333,69.2025
Lansing Kill,Lansing Kill Nat,154.165,25.1,4.586666667,208.31,5.42,10.49916667,1941.999167,NA,1.45,11.904,159.4123077,87.484,0.105,14.655,21.78571429,32014.745,1958.815,20.4,68.66222222,203.1733333,86.11
Mill Brook,Mill Brook Nat,47.6725,22.2575,22.87,NA,4.45125,9.216666667,2038.813333,NA,0.72,NA,166.632,147.25,0.156,NA,12.54166667,462285.5012,36849.715,20.15,127.85,45.24,54.9875
Mill Creek,Mill Creek Nat,152.425,24.40714286,19.29333333,87.26,6.128461538,10.95909091,1578.877273,3.3,2.955,6.4325,75.72066667,96.776,0.098,4.505,16.56666667,308932.2125,469757.2375,24.87571429,141.274,170.8166667,51.50333333
Minots Corner Road,Minots Corner Road Nat,100.445,22.83571429,23.1,NA,5.628,10.08153846,1998.930769,NA,2.035,6.96,200.0025,87.1625,0.14,11.935,25.125,19716.68789,243118.815,28.28,40.78555556,253.4,53.86666667
Mohawk River,Mohawk River Nat,46.595,22.06,13.4825,0.09,4.753636364,11.279,1679.543,3.48,0.7625,10.9075,153.0883333,66.41,0.154,10.61,19.29166667,74768.66111,618809.1833,22.46666667,51.486,141,61.59
