Species,Dispersal unit dry mass,Dispersal unit length,Dispersal unit thickness,Dispersal unit width,Germination efficiency,Germination requirement,Leaf area,Leaf carbon (C) content per area,Leaf carbon (C) content per dry mass,Leaf carbon/nitrogen (C/N) ratio,Leaf density,Leaf dry mass,Leaf dry mass per plant,"Leaf dry mass per plant dry mass (leaf weight ratio, LWR)",Leaf dry matter content (LDMC),Leaf fresh mass,Leaf lamina thickness,Leaf lifespan,Leaf nitrogen (N) content,Leaf nitrogen (N) content per area,Leaf nitrogen (N) content per dry mass,Leaf nitrogen/phosphorus (N/P) ratio,Leaf phosphorus (P) content per area,Leaf phosphorus (P) content per dry mass,Leaf physical strength,Leaf porosity,Leaf potassium (K) content per area,Leaf potassium (K) content per dry mass,Leaf respiration per dry mass,Leaf specific area (SLA),Leaf texture (sclerophylly),Leaf thickness,Metamorphoses and morphological adaptations: seed or dispersal unit,Mycorrhizal type,Nitrogen fixation capacity,Phenology: reproductive,Phenology: vegetative,Photosynthesis leaf intercellular CO2 concentration,Photosynthesis net assimilytion rate (NAR),Photosynthesis per leaf area,Photosynthesis per leaf dry mass,Plant age of maturity (first flowering),Plant growth form,Plant height generative,Plant height vegetative,Plant lifespan,Plant relative growth rate (RGR),Plant tolerance to drought,Plant tolerance to frost,Plant tolerance to human impact,Plant tolerance to planting density,Plant tolerance to precipitation,Plant tolerance to shade,Plant tolerance to soil pH,Plant tolerance to waterlogging,Reproductive dry mass per plant,Root nitrogen (N) content per dry mass,Rooting depth,Seed length,Seed mass,Seed number per ramet,Seed number per reproducton unit,Seed protein content per mass,Seed thickness,Seed width,Species distribution: number of floristic zones,Stem dry mass per plant,Stem length (height),Stem nitrogen (N) content per dry mass,Stem specific density (SSD),Stomata conductance per leaf area,Wood dry mass per plant dry mass,Woodiness
Circaea.lutetiana,1.97,7.11,1.08,2.27,NA,NA,1770.616667,NA,42.805,16.392,NA,69.45,NA,NA,193.5,NA,NA,NA,NA,NA,5.365,10.51,NA,865.205,NA,14,NA,NA,NA,23706.81889,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,0.45,0.30625,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,0.87,NA,NA,2.190555556,NA,1491.4575,NA,NA,NA,3,NA,NA,NA,0.176,NA,NA,NA
Clematis.virginiana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,23.5,NA,1950,43.5,NA,5.9,NA,NA,NA,14,NA,32002.44833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cryptotaenia.canadensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.26,NA,NA,2.223333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cynodon.dactylon,0.26,2,NA,NA,NA,NA,119.9833333,NA,463,NA,NA,5.051111111,0.34,NA,236.7985714,NA,0.19,NA,NA,NA,20.22,20.97,NA,1.735,6.378333333,NA,NA,NA,NA,31.557,NA,NA,NA,NA,NA,122.6842857,NA,NA,NA,NA,NA,NA,NA,8.95,13.37888889,NA,NA,NA,76,4,84280,66,NA,6.5,NA,0.06,NA,14,NA,98624.94143,NA,37533.33333,NA,NA,NA,6,0.3,NA,NA,NA,NA,NA,NA
Cyperus.compressus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,98.5,NA,7900,40,NA,5.75,NA,NA,NA,8,NA,0.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyperus.strigosus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2,NA,NA,NA,33.5,NA,4125,38,NA,6.7,NA,NA,NA,16,NA,0.3675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dactylis.glomerata,0.87,4.95,0.896666667,1.13,NA,NA,126.350597,42.2,340.28,17.45,0.414285714,5.305396825,11.39,0.521428571,106.8011392,0.248163265,0.146666667,0.836666667,0.235,1.273333333,14.55021277,10.262,NA,343.20375,82.167,NA,NA,NA,NA,52.17337838,NA,0.11,NA,NA,NA,134.3062963,NA,186.75,0.242857143,8.49,64.895,1,NA,266.5557143,89.9859633,NA,0.1925,NA,43.5,2,NA,48.5,NA,6.25,NA,1.49,1.015714286,6.185,NA,4800.855169,NA,92513.26667,27.15,NA,NA,4,6.92,NA,1,0.495,108.625,NA,NA
Daucus.carota,1.09,3.46,1.1,2.703333333,NA,NA,11.17058824,NA,256.506,22.52666667,NA,0.862264151,0.36,5.52,37.06779661,0.256938776,NA,2.73,0.05,1.78,13.23538462,NA,NA,2.538,NA,NA,NA,10.784,NA,28.13317647,NA,NA,NA,NA,NA,145.93,NA,NA,3.17,15.53,275.76,NA,NA,13.62272727,44.70802817,NA,0.27,NA,NA,3,NA,NA,NA,NA,NA,1.428333333,NA,NA,NA,1.108076923,NA,33886.57143,24.08666667,NA,NA,4,3.278333333,NA,NA,0.13,NA,65.144,NA
Decodon.verticillatus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.89,13.5,NA,1400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,61,NA,1450,45,NA,6.2,NA,NA,NA,10,NA,0.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dichanthelium.clandestinum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,48.5,NA,NA,48.5,NA,5.75,NA,NA,NA,16,NA,350000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
