Trait,Abies balsamea,Acer negundo,Acer pensylvanicum,Acer rubrum,Acer saccharinum,Acer saccharum,Acer spicatum,Achillea millefolium,Ageratina altissima,Agrimonia gryposepala,Agrostis perennans,Alliaria petiolata,Alnus incana,Ambrosia artemisiifolia,Ambrosia trifida,Amphicarpaea bracteata,Anemone virginiana,Apocynum cannabinum,Arctium lappa,Arisaema triphyllum,Artemisia vulgaris,Asclepias syriaca,Athyrium filix-femina,Barbarea vulgaris,Berberis thunbergii,Betula alleghaniensis,Betula papyrifera,Bidens connata,Bidens frondosa,Blephilia hirsuta,Boehmeria cylindrica,Brassica nigra,Bromus ciliatus,Bromus inermis,Bromus pubescens,Calystegia sepium,Carex crinita,Carex scoparia,Carpinus caroliniana,Carya cordiformis,Carya ovata,Centaurea jacea,Centaurea nigrescens,Centaurea stoebe,Cephalanthus occidentalis,Chelidonium majus,Chelone glabra,Cicuta maculata,Cinna arundinacea,Circaea lutetiana,Clematis virginiana,Clinopodium vulgare,Collinsonia canadensis,Commelina communis,Cornus amomum,Cornus canadensis,Cornus rugosa,Cornus sericea,Corylus cornuta,Cryptotaenia canadensis,Cyperus strigosus,Dactylis glomerata,Daucus carota,Dianthus armeria,Dichanthelium clandestinum,Digitaria sanguinalis,Dioscorea villosa,Dryopteris carthusiana,Dryopteris cristata,Echinocystis lobata,Eleocharis intermedia,Elymus hystrix,Elymus repens,Elymus trachycaulus,Elymus virginicus,Epilobium ciliatum,Epipactis helleborine,Equisetum fluviatile,Equisetum hyemale,Equisetum palustre,Equisetum pratense,Erigeron annuus,Euonymus alatus,Eupatorium perfoliatum,Euphorbia maculata,Euthamia graminifolia,Fagus grandifolia,Fragaria vesca,Fraxinus americana,Fraxinus nigra,Fraxinus pennsylvanica,Galium aparine,Galium asprellum,Galium boreale,Galium mollugo,Galium palustre,Galium triflorum,Geum canadense,Glechoma hederacea,Glyceria striata,Hamamelis virginiana,Helianthus strumosus,Helianthus tuberosus,Hemerocallis fulva,Hypericum mutilum,Hypericum perforatum,Hypericum punctatum,Impatiens capensis,Impatiens pallida,Juglans cinerea,Juglans nigra,Juncus articulatus,Juncus filiformis,Laportea canadensis,Leonurus cardiaca,Leucanthemum vulgare,Linaria vulgaris,Lindera benzoin,Liparis loeselii,Lithospermum officinale,Lobelia cardinalis,Lobelia inflata,Lobelia siphilitica,Lonicera japonica,Lonicera morrowii,Lotus corniculatus,Ludwigia palustris,Lycopus americanus,Lycopus rubellus,Lysimachia ciliata,Lysimachia nummularia,Lysimachia quadrifolia,Lysimachia terrestris,Lythrum salicaria,Maianthemum racemosum,Malus pumila,Matteuccia struthiopteris,Melilotus officinalis,Mimulus ringens,Mitchella repens,Monotropa uniflora,Muhlenbergia mexicana,Myosotis laxa,Myosotis scorpioides,Myrica gale,Oenothera biennis,Onoclea sensibilis,Osmunda cinnamomea,Osmunda regalis,Ostrya virginiana,Oxalis stricta,Panicum dichotomiflorum,Parthenocissus quinquefolia,Peltandra virginica,Phalaris arundinacea,Phegopteris connectilis,Phegopteris hexagonoptera,Phleum pratense,Pilea pumila,Pinus strobus,Plantago lanceolata,Plantago major,Platanus occidentalis,Polygonum amphibium,Polygonum cuspidatum,Polygonum hydropiper,Polygonum hydropiperoides,Polygonum persicaria,Polygonum punctatum,Polygonum sagittatum,Polygonum virginianum,Polystichum acrostichoides,Populus deltoides,Potentilla recta,Potentilla simplex,Prenanthes alba,Prunella vulgaris,Prunus americana,Prunus serotina,Prunus virginiana,Pteridium aquilinum,Quercus alba,Quercus velutina,Ranunculus pensylvanicus,Ranunculus recurvatus,Rhamnus alnifolia,Rhamnus cathartica,Rhus typhina,Robinia pseudoacacia,Rosa multiflora,Rosa palustris,Rubus allegheniensis,Rubus hispidus,Rubus idaeus,Rubus occidentalis,Rubus odoratus,Rubus phoenicolasius,Rubus pubescens,Rudbeckia hirta,Rudbeckia laciniata,Rumex crispus,Rumex obtusifolius,Sagittaria latifolia,Salix alba,Salix nigra,Salix pentandra,Sambucus nigra,Saponaria officinalis,Schoenoplectus pungens,Scirpus atrocinctus,Scirpus microcarpus,Scutellaria lateriflora,Securigera varia,Silene vulgaris,Solanum dulcamara,Solidago altissima,Solidago canadensis,Solidago flexicaulis,Solidago gigantea,Sonchus oleraceus,Spiraea alba,Symphyotrichum lanceolatum,Symphyotrichum prenanthoides,Symplocarpus foetidus,Tanacetum vulgare,Taraxacum officinale,Thalictrum dioicum,Thalictrum pubescens,Thelypteris noveboracensis,Thelypteris palustris,Thuja occidentalis,Tilia americana,Toxicodendron radicans,Trifolium aureum,Trifolium pratense,Trifolium repens,Trillium erectum,Tsuga canadensis,Tussilago farfara,Ulmus americana,Ulmus rubra,Urtica dioica,Veratrum viride,Verbascum thapsus,Verbena hastata,Verbena urticifolia,Veronica americana,Veronica anagallis-aquatica,Veronica scutellata,Viburnum acerifolium,Viburnum dentatum,Viburnum lantanoides,Vinca minor,Vitis riparia,Xanthium strumarium
Plant relative growth rate (RGR),NA,0.14,NA,NA,NA,0.07,NA,0.145833333,NA,NA,NA,NA,0.07,NA,NA,NA,NA,NA,NA,NA,0.07,NA,NA,NA,NA,0.1,0.1375,NA,0.24,NA,NA,NA,NA,0.151818182,NA,NA,0.182857143,NA,NA,NA,NA,0.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1925,0.27,NA,NA,NA,NA,NA,NA,NA,NA,0.165,0.21,0.17,0.145,0.29,NA,NA,NA,NA,NA,NA,NA,0.25,NA,0.26,NA,NA,NA,NA,0.09,0.125,NA,NA,NA,0.18,NA,NA,0.23,NA,NA,NA,NA,NA,NA,0.21,NA,NA,NA,NA,NA,NA,0.18,NA,NA,0.22,NA,NA,NA,NA,0.07,NA,NA,NA,NA,0.1075,NA,0.26,NA,0.21,NA,NA,NA,0.2275,NA,NA,NA,NA,0.275,NA,NA,NA,0.23,NA,NA,0.205555556,NA,NA,NA,NA,NA,NA,NA,NA,0.2,NA,NA,0.2,NA,0.033333333,0.168947368,0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.138,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.175,NA,0.26,0.16,NA,NA,NA,NA,15.85307692,NA,NA,NA,NA,0.23,NA,NA,0.23,NA,0.18,NA,NA,0.21,NA,NA,NA,NA,0.02,0.255,NA,NA,NA,NA,0.04,NA,NA,NA,0.125,0.106666667,NA,0.21,NA,NA,NA,0.15,NA,0.23,0.26,NA,NA,NA,0.25,NA,NA,NA,NA,NA,0.16
Plant tolerance to drought,1,3.03,2,1.84,2.88,2.25,2,NA,NA,NA,NA,NA,1.973333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,3,2.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.02,4,3,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2.48,2.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1.5,NA,2.38,2,3.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2.38,2.38,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.13,NA,NA,NA,NA,NA,NA,NA,NA,0.53,NA,NA,NA,NA,3.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.29,NA,NA,2.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.57,NA,NA,NA,NA,NA,3.02,2.88,NA,3.56,3,NA,NA,NA,3.46,4,4.11,NA,NA,4,NA,3.04,NA,NA,2.5,NA,NA,NA,NA,NA,NA,2,1.77,0.53,3.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.71,2.88,NA,NA,NA,NA,NA,1,NA,2.92,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA
Plant tolerance to frost,13,28.5,38.5,31,26,18.5,36,36,NA,38.5,43.5,NA,34.33333333,NA,NA,NA,NA,28.5,NA,78.5,NA,NA,21,NA,76,26,18.5,81,63.5,NA,33.5,NA,86,26,NA,NA,55.5,23.5,23.5,53.5,48.5,NA,NA,NA,58.5,NA,NA,NA,48.5,NA,23.5,NA,NA,NA,36,36,31,29.25,39.75,NA,33.5,43.5,NA,NA,48.5,NA,NA,NA,43.5,NA,NA,NA,23.5,24.75,53.5,NA,NA,33.5,NA,NA,NA,NA,NA,NA,NA,NA,29,NA,28,26,38.5,56,43.5,26,NA,NA,NA,53.5,NA,32.5,46,NA,28.5,NA,58.5,NA,31,63.5,71,36,71,33.5,NA,NA,NA,51,NA,48.5,NA,NA,48,NA,NA,58.5,NA,28.5,48,41,71,NA,NA,NA,NA,NA,NA,NA,NA,36,NA,NA,NA,33.5,NA,48.5,31,46,NA,33.5,37.25,31,NA,28.5,51,43.5,41,NA,NA,26,NA,28.5,NA,23.5,33,43.5,NA,86,63.5,71,71,48.5,NA,NA,26,NA,NA,NA,38.5,31,51,32.25,23.5,23.5,56,46,NA,71,NA,NA,28.5,NA,31,46,51,34.33333333,50.5,26,NA,NA,63.5,31,NA,NA,31,33.5,43.5,41,28.5,56,41,NA,21,NA,NA,NA,NA,NA,18.5,61,38.5,NA,38.5,19.75,31,58.5,NA,31,NA,NA,36,NA,33.5,49.75,NA,NA,48,55.5,NA,23.5,NA,18.5,33.5,NA,NA,NA,NA,NA,31,NA,NA,43.5,155.5,36,48.5,68.5,NA
Plant tolerance to human impact,NA,2,NA,NA,NA,NA,NA,3,NA,NA,NA,3,2,2,2,NA,NA,NA,2,NA,3,2,2,3,2,NA,NA,3,4,NA,NA,2,NA,2,NA,3,NA,NA,NA,NA,NA,2,3,3,NA,2,NA,NA,NA,2,NA,2,NA,NA,NA,NA,NA,2,NA,NA,NA,2,3,2,NA,2,NA,2,2,4,NA,NA,NA,NA,NA,4,2,2,2,2,2,2,NA,NA,NA,NA,NA,2,NA,NA,1,5,NA,2,3,2,NA,NA,3,2,NA,NA,2,3,NA,5,NA,4,NA,NA,NA,4,2,NA,2,2,4,NA,2,2,NA,NA,NA,NA,NA,3,2,NA,NA,NA,3,NA,NA,2,NA,NA,2,2,NA,NA,NA,NA,3,3,2,NA,NA,NA,2,NA,NA,2,NA,NA,4,2,NA,2,NA,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,2,NA,2,NA,2,NA,NA,NA,NA,NA,2,NA,3,2,NA,NA,NA,3,NA,2,NA,NA,1,3,3,2,2,3,NA,2,4,4,2,NA,NA,NA,2,2,5,NA,3,NA,3,2,NA,NA,NA,NA,2,NA,NA,NA,NA,2,NA,NA,NA,3,2,3,NA,NA,4,NA,NA,3,NA,3,NA,NA,NA,2,2,NA,NA,NA,2,NA,NA
Plant tolerance to planting density,750,750,900,685,435,500,900,11900,NA,6850,NA,NA,966.6666667,NA,NA,NA,NA,7050,NA,7900,NA,NA,2200,NA,525,500,500,NA,NA,NA,NA,NA,NA,NA,NA,NA,6406,3750,950,435,500,NA,NA,NA,2223,NA,NA,NA,15000,NA,1950,NA,NA,NA,3000,3750,2200,2465.5,1200,NA,4125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31280,NA,NA,NA,NA,3750,NA,NA,NA,NA,NA,NA,NA,NA,550,NA,550,550,550,NA,NA,NA,NA,NA,NA,7181,NA,5665.5,1950,NA,7856,NA,5900,NA,5900,NA,NA,450,450,7900,NA,NA,NA,NA,NA,1950,NA,NA,6820,NA,NA,7900,NA,NA,7400,6350,6350,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7900,5250,NA,NA,3075,2662.5,700,NA,NA,10850,14956,3750,NA,NA,NA,NA,815,NA,14500,550,NA,NA,NA,NA,NA,NA,NA,NA,NA,485,NA,NA,NA,NA,950,550,1702.5,6820,550,750,7181,NA,1699,NA,NA,750,NA,3150,3000,2598,2000,3000,950,NA,NA,NA,6820,NA,NA,NA,300,750,225,1899,3750,4125,NA,3250,NA,NA,NA,NA,NA,7400,2200,NA,NA,2200,1450,6850,3250,NA,NA,NA,NA,7181,NA,750,550,NA,NA,NA,NA,NA,750,NA,550,550,NA,NA,NA,NA,NA,7900,NA,NA,3750,1920,2200,10850,235,NA
Plant tolerance to precipitation,36.5,38.5,46,41,41,50,45,25.5,NA,35,44,NA,34.33333333,NA,NA,NA,NA,37.5,NA,42,NA,NA,45,NA,45,45,36,43.5,42,NA,42.5,NA,26,39,NA,NA,50.5,37.5,45,37.5,55,NA,NA,NA,46.5,NA,NA,NA,39,NA,43.5,NA,NA,NA,48,41,31.5,39,33.5,NA,38,48.5,NA,NA,48.5,NA,NA,NA,35,NA,NA,NA,44.5,16.5,45.5,NA,NA,42.5,NA,NA,NA,NA,NA,NA,NA,NA,40,NA,45,32.5,40,34.5,40,37.5,NA,NA,NA,37.5,NA,35,45,NA,35,NA,42.5,NA,43.5,32,39,52.5,45,29,NA,NA,NA,40,NA,41,NA,NA,44,NA,NA,42,NA,46.5,42.5,36,45,NA,NA,NA,NA,NA,NA,NA,NA,41.5,NA,NA,NA,35,NA,39.5,40,37.5,NA,50,45.5,39,NA,42.5,46,47.5,47.5,NA,NA,47.5,NA,50,NA,38,55,37,NA,42,31,37,36,50,NA,NA,31.25,NA,NA,NA,35.5,28,28.75,31,38,43,47.5,30,NA,40.25,NA,NA,40.5,NA,42.5,39,50,36,34.5,45,NA,NA,46.5,35,NA,NA,32,55,42.5,37.5,41,38.5,36,NA,25,NA,NA,NA,NA,NA,38,37.5,32,NA,36.5,17,40,50,NA,33.5,NA,NA,45,NA,45,41.5,NA,NA,48.5,47,NA,43.5,NA,37.5,45,NA,NA,NA,NA,NA,38,NA,NA,41,42.5,40,45,43.5,NA
Plant tolerance to shade,5.01,3.47,3.56,3.44,3.6,4.76,3.31,NA,NA,NA,NA,NA,1.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,3.17,1.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.58,2.07,3.4,NA,NA,NA,2.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,2.86,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.33,NA,NA,NA,4.75,NA,2.46,2.96,3.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,1.88,1.93,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.17,NA,NA,NA,NA,NA,NA,NA,NA,1.2,NA,NA,NA,NA,4.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.21,NA,NA,2.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.76,NA,NA,NA,NA,NA,2.46,2.59,NA,2.85,2.72,NA,NA,NA,1.93,1.56,1.72,NA,NA,2.5,NA,2.66,NA,NA,1.83,NA,NA,NA,NA,NA,NA,1.99,1.34,1.93,2.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.45,3.98,NA,NA,NA,NA,NA,4.83,NA,3.14,3.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA
Plant tolerance to soil pH,5,6.1,5.45,6.25,4.6,5.5,6.4,7,NA,5.75,6.5,NA,6.083333333,NA,NA,NA,NA,5.75,NA,5.9,NA,NA,5.75,NA,6.35,5.75,5.75,6.15,6.2,NA,6.05,NA,6.5,6.75,NA,NA,5.75,5.75,5.7,6.95,5.35,NA,NA,NA,6.9,NA,NA,NA,6.25,NA,5.9,NA,NA,NA,6,6.2,7.1,6.15,6.125,NA,6.7,6.25,NA,NA,5.75,NA,NA,NA,5,NA,NA,NA,6.5,7.3,6,NA,NA,5.25,NA,NA,NA,NA,NA,NA,NA,NA,5.3,NA,6.25,5.1,6.5,6.3,6,6.1,NA,NA,NA,6,NA,6,5.35,NA,5.5,NA,6,NA,5.6,6.9,7.1,6.5,6.75,6.15,NA,NA,NA,6.1,NA,5.25,NA,NA,6.8,NA,NA,6.35,NA,6.35,6.75,6.5,6.2,NA,NA,NA,NA,NA,NA,NA,NA,6.5,NA,NA,NA,6.5,NA,6.5,6.4,6,NA,5.75,4.875,5.9,NA,5.9,6.25,7.35,6.75,NA,NA,6.4,NA,5.25,NA,6.05,5.7,5.5,NA,6.25,6.25,6.25,7.35,6.25,NA,NA,5.775,NA,NA,NA,6.7,6,7,6.775,5.75,5.65,5.25,6.25,NA,6.25,NA,NA,6.4,NA,5.5,6.05,5.75,6.25,6.35,5.5,NA,NA,6.5,5.75,NA,NA,6.65,6.15,6.4,7,6.1,6,5.6,NA,6.4,NA,NA,NA,NA,NA,6.15,6.15,6,NA,5.55,6.85,6.35,5.5,NA,6.15,NA,NA,5.5,NA,6.1,6.225,NA,NA,6.75,6.75,NA,4.95,NA,6.75,6.25,NA,NA,NA,NA,NA,6.6,NA,NA,6.15,6.5,5.95,6.6,7.3,NA
Plant tolerance to waterlogging,2,2.75,1,3.08,3.37,1.09,2,NA,NA,NA,NA,NA,2.956666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,2,1.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3,2.5,1.38,NA,NA,NA,4.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,2.12,1.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1.5,NA,2.59,3.5,2.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,1.27,1.83,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.52,NA,NA,NA,NA,NA,NA,NA,NA,4.27,NA,NA,NA,NA,1.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.03,NA,NA,2.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.03,NA,NA,NA,NA,NA,1.06,1.11,NA,1.43,1.07,NA,NA,NA,2.25,1,1.07,NA,NA,2,NA,2.5,NA,NA,1,NA,NA,NA,NA,NA,NA,4.1,4.68,3.95,1.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.46,1.26,NA,NA,NA,NA,NA,1.25,NA,2.46,1.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,NA,NA,NA,NA
Reproductive dry mass per plant,NA,NA,NA,NA,NA,NA,NA,0.116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.49,1.428333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63,NA,2.996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.57,NA,0.114,NA,NA,NA,NA,NA,NA,NA,NA,1.094,NA,NA,NA,NA,NA,NA,NA,NA,1.192,NA,NA,NA,NA,NA,NA,NA,0.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.472,0.606,NA,NA,NA,0.042,NA,NA,NA,0.024,NA,NA,0.082,NA,NA,NA,1.306,NA,NA,NA,1.646,NA,0.308,NA,0.274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.042,NA,NA,NA,NA,NA,NA,2.1,NA,NA,NA,NA,NA,NA,NA,0.49,0.306,NA,NA,NA,NA,NA,NA,NA,NA,0.892,0.4,NA,NA,NA,NA,NA,NA,NA,NA,2.202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Root nitrogen (N) content per dry mass,3.166571429,16.7,NA,4.894857143,NA,9.58695122,0.82,9.228333333,NA,NA,NA,NA,NA,15.06,NA,NA,NA,NA,NA,NA,NA,18.04,NA,NA,NA,18.91071429,19.72489796,NA,NA,NA,NA,NA,NA,16.055,NA,NA,NA,NA,NA,NA,16.7,1.13,NA,NA,NA,NA,NA,NA,NA,0.87,NA,0.93,NA,NA,NA,NA,NA,NA,NA,1.26,NA,1.015714286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.99,NA,9.368769231,4.415,2.3375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.59,NA,NA,NA,NA,7.225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.645,NA,0.38,1.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.05,NA,NA,NA,NA,17.6,NA,NA,NA,2.11,2.17,NA,NA,NA,NA,NA,1.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rooting depth,20,40,28,30,32,40,32,8,NA,6,8,NA,26.5,NA,NA,NA,NA,12,NA,8,NA,NA,12,NA,18,30,32,8,8,NA,14,NA,16,12,NA,NA,18,8,20,50,48,NA,NA,NA,14,NA,NA,NA,16,NA,14,NA,NA,NA,16,10,18,18,17,NA,16,6.185,NA,NA,16,NA,NA,NA,12,NA,NA,NA,14,16,16,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,32,NA,40,40,40,4,14,6,NA,NA,NA,4,NA,4,20,NA,6,NA,8,NA,10,14,14,40,40,8,NA,NA,NA,8,NA,18,NA,NA,12,NA,NA,10,NA,14,10,10,10,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,8,NA,8,14,10,NA,12,15,16,NA,6,16,16,14,NA,NA,10,NA,40,NA,4,30,6,NA,6,10,14,14,6,NA,NA,24,NA,NA,NA,10,24,24,22,10,48,40,4,NA,12,NA,NA,36,NA,18,12,12,12,12,16,NA,NA,10,12,NA,NA,18,24,32,12,14,10,14,NA,12,NA,NA,NA,NA,NA,12,8,16,0.31,12,10,10,12,NA,6,NA,NA,6,NA,30,35,NA,NA,12,12,NA,28,NA,42,40,NA,NA,NA,NA,NA,6,NA,NA,14,NA,14,8,16,NA
Seed length,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.35,NA,1.56,NA,NA,NA,NA,NA,NA,NA,1.36,NA,NA,NA,5.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3,NA,NA,NA,NA,NA,17.3,NA,NA,NA,NA,NA,1.13,0.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.16,NA,NA,NA,NA,NA,0.57,0.5,NA,NA,NA,1.633333333,NA,0.35,NA,NA,NA,NA,NA,NA,1.48,7.2,NA,NA,NA,1.25,NA,NA,1.03,NA,NA,NA,2.19,NA,NA,NA,NA,NA,NA,NA,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2.84,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9,NA,1.73,NA,1.92,NA,NA,NA,NA,3.71,1.42,2.13,NA,NA,NA,NA,NA,2.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.18,1.94,1.17,NA,NA,NA,NA,NA,NA,NA,0.86,NA,NA,NA,0.55,1.78,NA,NA,NA,NA,NA,NA
Seed mass,9978.935,696.5111765,1926.043333,1536.306667,321.0944444,806.275,3803.566667,111854.2789,0.16,62510.975,2666666.727,2.4675,157973.1172,3.99,11.526,29.72666667,1.13,71429.47,11.979,27523.35,0.157857143,6.065,NA,0.599,4520.9,34339.31846,98628.88929,21668.905,7645.549412,0.11,65000.16,1.291904762,59003.67,7522.741053,4.62,28.13545455,11.05,NA,3023.377,2420.205714,3683.6,1.441333333,2.61,NA,2.6225,0.739375,0.5,2.0125,0.503333333,2.190555556,32002.44833,0.409473684,NA,8.48,1772.1,9928.324286,3205.318333,4121.177778,665.4005556,2.223333333,0.3675,4800.855169,1.108076923,0.501818182,350000,0.518,10.7,NA,NA,237.45,0.16,NA,11002.438,45002.86,12504.37875,0.356,0,NA,NA,NA,NA,0.035,17.28833333,1.086,0.2725,NA,375.2154545,7.893548387,804.4276923,997.1908333,1051.997857,21747.77739,5.00E+05,48384.66667,0.67,0.939090909,0.76,80004.238,0.638571429,0.172,1942.618333,5.27,18918.9,27.9,NA,0.139756098,0.04,116671.3667,7.00E+05,12026.79143,10554.64308,0.02,0.221,2.233333333,0.961111111,8000.3804,0.160454545,839.5533333,0,12.32428571,2823189.53,0.01,0.0325,14001.44,2.98,5521.230896,0.04,432383.0929,NA,1.25,0.28,4.4,0.58,0.35952381,29.1425,22.4,NA,8343.458065,1.275,3.52,NA,150000.332,0.1825,32143.12,1.30375,62545.85545,NA,NA,NA,6013.29,0.224,78400.412,2063.774444,NA,22415.25083,NA,NA,36350.39,1.146666667,1947.055,1.492333333,84074.87074,21335.99111,25001.248,1.88,11460.365,20847.24833,15987.84125,25001.29,13891.04,5.313333333,NA,50000.92133,0.252222222,NA,NA,14847.93089,782.44,700.6405882,617.885,NA,2709.97,1584.398333,5000.568,0.63,13109.584,23.954,10.80571429,1863.994615,7.796,4.18,37430.61429,2.8975,18711.606,67001.102,98600.728,NA,NA,157577.033,31529.905,1.6768,1.5085,67000,0.12,625000.045,2250000.135,24475.778,9616.916923,52081.708,NA,0.12,0.33,3.306666667,1.3124,33.59578947,0.088,200000.0804,233333.62,100000.1086,0.3075,1.00E+06,7.00E+05,7.00E+05,21955.83333,0.169259259,15202.77378,2.153333333,1.67,1325000,NA,49372.56,886.9116667,16.652,0.335,5555.840612,13379.84448,NA,31202.21,0.314666667,6186.732727,8208.864,0.1425,1.33,0.094347826,2.210833333,0.425,75000.05,0.04875,0.416666667,2642.084,115387.766,11500,6.13,3684.25,181.184
