Species,Trait,Value
Leucanthemum vulgare,Dispersal unit width,0.84
Leucanthemum vulgare,Dispersal unit width,0.84
Lithospermum officinale,Dispersal unit width,2
Lithospermum officinale,Dispersal unit width,2
Marrubium vulgare,Dispersal unit width,1.14
Marrubium vulgare,Dispersal unit width,1.14
Melilotus officinalis,Dispersal unit width,2.25
Melilotus officinalis,Dispersal unit width,2.25
Myosotis laxa,Dispersal unit width,1.3
Myosotis laxa,Dispersal unit width,1.3
Myosotis scorpioides,Dispersal unit width,1.08
Myosotis scorpioides,Dispersal unit width,1.08
Myrica gale,Dispersal unit width,1.4
Myrica gale,Dispersal unit width,2.28
Myrica gale,Dispersal unit width,2.28
Oenanthe silaifolia,Dispersal unit width,1.9
Oenanthe silaifolia,Dispersal unit width,1.9
Oenanthe silaifolia,Dispersal unit width,1.9
Panicum capillare,Dispersal unit width,0.79
Panicum capillare,Dispersal unit width,0.79
Panicum capillare,Dispersal unit width,1
Pastinaca sativa,Dispersal unit width,4.32
Pastinaca sativa,Dispersal unit width,4.32
Phalaris arundinacea,Dispersal unit width,1
Phalaris arundinacea,Dispersal unit width,1.12
Phalaris arundinacea,Dispersal unit width,1.12
Phleum pratense,Dispersal unit width,0.91
Phleum pratense,Dispersal unit width,0.91
Phleum pratense,Dispersal unit width,0.93
Phleum pratense,Dispersal unit width,0.93
Phleum pratense,Dispersal unit width,1.1
Potentilla recta,Dispersal unit width,0.95
Potentilla recta,Dispersal unit width,0.95
Prenanthes purpurea,Dispersal unit width,1.02
Prunella vulgaris,Dispersal unit width,1.03
Prunella vulgaris,Dispersal unit width,1.03
Prunus serotina,Dispersal unit width,5.85
Prunus serotina,Dispersal unit width,9
Prunus virginiana,Dispersal unit width,5.25
Prunus virginiana,Dispersal unit width,8
Quercus rubra,Dispersal unit width,18.5
Quercus rubra,Dispersal unit width,18.5
Rhamnus cathartica,Dispersal unit width,2.83
Rhamnus cathartica,Dispersal unit width,7.5
Ribes rubrum,Dispersal unit width,8.45
Rubus idaeus,Dispersal unit width,1.57
Rubus idaeus,Dispersal unit width,11.8
Rubus odoratus,Dispersal unit width,1.08
Rudbeckia hirta,Dispersal unit width,0.6
Rudbeckia hirta,Dispersal unit width,0.6
Rudbeckia laciniata,Dispersal unit width,1.3
Rudbeckia laciniata,Dispersal unit width,1.3
Rumex crispus,Dispersal unit width,1.58
Rumex crispus,Dispersal unit width,4.15
Rumex crispus,Dispersal unit width,4.15
Rumex obtusifolius,Dispersal unit width,1.4
Sagittaria latifolia,Dispersal unit width,2.5
Sagittaria latifolia,Dispersal unit width,2.5
Sambucus nigra,Dispersal unit width,1.88
Sambucus nigra,Dispersal unit width,6.25
Securigera varia,Dispersal unit width,2
Securigera varia,Dispersal unit width,2
Solanum dulcamara,Dispersal unit width,10
Solidago canadensis,Dispersal unit width,0.35
Solidago gigantea,Dispersal unit width,0.33
Solidago gigantea,Dispersal unit width,0.33
Solidago gigantea,Dispersal unit width,0.33
Sonchus oleraceus,Dispersal unit width,0.91
Sonchus oleraceus,Dispersal unit width,0.91
Sonchus oleraceus,Dispersal unit width,0.91
Tanacetum vulgare,Dispersal unit width,0.78
Tanacetum vulgare,Dispersal unit width,0.78
Trifolium pratense,Dispersal unit width,1.65
Trifolium pratense,Dispersal unit width,1.65
Trifolium repens,Dispersal unit width,1.35
Tussilago farfara,Dispersal unit width,0.45
Tussilago farfara,Dispersal unit width,0.45
Tussilago farfara,Dispersal unit width,0.45
Urtica dioica,Dispersal unit width,0.77
Urtica dioica,Dispersal unit width,1.35
Urtica dioica,Dispersal unit width,1.35
Xanthium strumarium,Dispersal unit width,7.5
Xanthium strumarium,Dispersal unit width,7.5
Achillea millefolium,Germination efficiency,100
Achillea millefolium,Germination efficiency,100
Alliaria petiolata,Germination efficiency,100
Alliaria petiolata,Germination efficiency,100
Alliaria petiolata,Germination efficiency,70
Alliaria petiolata,Germination efficiency,85
Alliaria petiolata,Germination efficiency,92
Alnus incana,Germination efficiency,100
Alnus incana,Germination efficiency,94
Anemone canadensis,Germination efficiency,56
Arctium lappa,Germination efficiency,100
Artemisia vulgaris,Germination efficiency,100
Asclepias syriaca,Germination efficiency,85
Asclepias syriaca,Germination efficiency,90
Barbarea vulgaris,Germination efficiency,100
Barbarea vulgaris,Germination efficiency,92
Bidens frondosa,Germination efficiency,98
Bidens frondosa,Germination efficiency,100
Bidens frondosa,Germination efficiency,88
Brassica nigra,Germination efficiency,100
Bromus ciliatus,Germination efficiency,100
Calystegia sepium,Germination efficiency,100
Carex crinita,Germination efficiency,73
Centaurea jacea,Germination efficiency,78
Centaurea jacea,Germination efficiency,83
Centaurea jacea,Germination efficiency,90
Chelidonium majus,Germination efficiency,80
Circaea lutetiana,Germination efficiency,64
Clinopodium vulgare,Germination efficiency,100
Clinopodium vulgare,Germination efficiency,94
Clinopodium vulgare,Germination efficiency,96
Clinopodium vulgare,Germination efficiency,98
Cynodon dactylon,Germination efficiency,100
Cynodon dactylon,Germination efficiency,90
Cynodon dactylon,Germination efficiency,90
Cynodon dactylon,Germination efficiency,96
Dactylis glomerata,Germination efficiency,100
Dactylis glomerata,Germination efficiency,100
Dactylis glomerata,Germination efficiency,100
Dactylis glomerata,Germination efficiency,100
Dactylis glomerata,Germination efficiency,100
Dactylis glomerata,Germination efficiency,100
Dactylis glomerata,Germination efficiency,100
Dactylis glomerata,Germination efficiency,100
Dactylis glomerata,Germination efficiency,100
Dactylis glomerata,Germination efficiency,100
Dactylis glomerata,Germination efficiency,50
Dactylis glomerata,Germination efficiency,65
Dactylis glomerata,Germination efficiency,67
