,Leaf C per dry mass,Leaf C to N ratio,Leaf weight ratio,Lamina thickness,Leaf N per dry mass,Leaf N to P ratio,Leaf P per dry mass,Leaf physical strength,Leaf K per dry mass,Leaf respiration per dry mass,SLA,Photosynthesis per leaf dry mass,RGR,Root N per dry mass,Rooting depth,Seed mass,Seed number per reproduction unit,Seed protein content per mass,SSD,Stomata conductance per leaf area,Wood dry mass per plant dry mass
solidago_flexicaulis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,233333.62,NA,NA,NA,NA,NA
solidago_gigantea,48.47,NA,NA,NA,1.2,6.48,2000,NA,NA,NA,20.25,NA,NA,NA,16,100000.11,899445,NA,NA,NA,NA
spiraea_alba,NA,NA,NA,NA,1.89,16.48,687.82,NA,0.72,NA,67.71,147.25,NA,NA,12,1000000,NA,NA,NA,NA,NA
symphyotrichum_lanceolatum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,700000,NA,NA,NA,NA,NA
symphyotrichum_prenanthoides,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,700000,NA,NA,NA,NA,NA
symplocarpus_foetidus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,21955.83,NA,NA,NA,NA,NA
thalictrum_dioicum,NA,NA,NA,NA,1.63,6.31,2750,NA,NA,NA,NA,NA,NA,NA,NA,2.15,NA,NA,NA,NA,NA
thalictrum_pubescens,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.67,NA,NA,NA,NA,NA
thelypteris_noveboracensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.1,NA,NA,NA,6,1325000,NA,NA,NA,NA,NA
thelypteris_palustris,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.69,NA,NA,NA,NA,1863.99,NA,NA,NA,NA,NA
thuja_occidentalis,NA,48.6,0.64,NA,11.92,9.53,771.8,NA,0.58,7.09,76.65,12.16,0.04,17.6,30,49372.56,NA,NA,175.16,163,NA
tilia_americana,NA,NA,NA,NA,18.86,8.5,2299.86,NA,1.33,9.69,64.24,NA,NA,NA,35,886.91,NA,NA,0.4,NA,NA
toxicodendron_radicans,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.29,NA,NA,NA,NA,16.65,NA,NA,NA,NA,NA
trillium_erectum,NA,NA,NA,NA,2.47,16.47,1500,NA,NA,NA,NA,NA,NA,NA,NA,1863.99,NA,NA,NA,NA,NA
tsuga_canadensis,NA,NA,0.66,NA,2.29,9.37,1525,NA,NA,2.18,83.95,29.28,0.21,NA,28,31202.21,NA,NA,0.43,141,NA
ulmus_americana,NA,25.9,NA,NA,6.21,10,1878.16,451.7,0.81,NA,80.5,67.04,NA,NA,42,6186.73,NA,NA,225.28,454,NA
ulmus_rubra,NA,NA,NA,NA,2.18,10.49,1983.18,NA,1.28,NA,68.94,NA,NA,NA,40,8208.86,NA,NA,0.57,NA,NA
veratrum_viride,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.33,NA,NA,NA,NA,NA
verbena_hastata,46.73,18.95,21.13,NA,10.68,NA,NA,NA,NA,NA,196.1,NA,0.26,NA,NA,2.21,NA,NA,NA,0.51,61.57
verbena_urticifolia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.43,NA,NA,NA,NA,NA
veronica_americana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,75000.05,NA,NA,NA,NA,NA
veronica_anagallis_aquatica,NA,NA,NA,0.15,NA,NA,NA,3.84,NA,NA,28.02,NA,NA,NA,NA,0.05,2356.8,NA,NA,NA,NA
